
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.800000e+01 * a0, G = 1.580905e+04, G * par = 3.161810e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.251136e+00
     Dipolar cutoffs Rcut = 1.046777e+01, Lcut = 2.887877e+02

QF = 1, QDEPL = 0: h2 = 1.989378e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.514595e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.512308e+00, DY = 1.635589e-01, DZ = 1.635589e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 2500 (NSNAP = 1250)
                     DT = 1.337576e-02

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
66        1.50620457526e+05   0.000000e+00   -5.287527e-01  2.891341e+01  
67        1.50620458553e+05   0.000000e+00   -5.288423e-01  2.891343e+01  
68        1.50620459409e+05   0.000000e+00   -5.289291e-01  2.891346e+01  
69        1.50620460088e+05   0.000000e+00   -5.290132e-01  2.891349e+01  
70        1.50620460580e+05   0.000000e+00   -5.290944e-01  2.891352e+01  
71        1.50620460880e+05   0.000000e+00   -5.291729e-01  2.891355e+01  
72        1.50620460978e+05   0.000000e+00   -5.292486e-01  2.891358e+01  
73        1.50620460870e+05   0.000000e+00   -5.293215e-01  2.891361e+01  
74        1.50620460549e+05   0.000000e+00   -5.293915e-01  2.891364e+01  
75        1.50620460008e+05   0.000000e+00   -5.294586e-01  2.891367e+01  
76        1.50620459243e+05   0.000000e+00   -5.295227e-01  2.891370e+01  
77        1.50620458250e+05   0.000000e+00   -5.295839e-01  2.891373e+01  
78        1.50620457022e+05   0.000000e+00   -5.296421e-01  2.891376e+01  
79        1.50620455558e+05   0.000000e+00   -5.296974e-01  2.891379e+01  
80        1.50620453852e+05   0.000000e+00   -5.297499e-01  2.891382e+01  
81        1.50620451903e+05   0.000000e+00   -5.297997e-01  2.891385e+01  
82        1.50620449707e+05   0.000000e+00   -5.298470e-01  2.891388e+01  
