
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.900000e+01 * a0, G = 1.598870e+04, G * par = 3.197739e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par = 9.435331e+03, edd = 1.235955e+00
     Dipolar cutoff Rcut = 1.104006e+01, Lcut = 3.371220e+02

QF = 1: h2 = 2.010782e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.453461e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 5.267531e+00, DY = 1.725009e-01, DZ = 1.725009e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 1.487829e-02

Initial state: Gaussian
               SX = 3.371220e+01, SY = 1.104006e+00, SZ = 1.104006e+00
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-06, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         3.374833e+01   3.371220e+01   1.104006e+00   1.104006e+00  
1         3.179887e+01   3.176052e+01   1.103877e+00   1.103877e+00  
2         3.106471e+01   3.102528e+01   1.106338e+00   1.106338e+00  
3         3.071149e+01   3.067142e+01   1.108925e+00   1.108925e+00  
4         3.051816e+01   3.047772e+01   1.110557e+00   1.110557e+00  
5         3.040774e+01   3.036708e+01   1.111517e+00   1.111517e+00  
6         3.034315e+01   3.030237e+01   1.112081e+00   1.112081e+00  
7         3.030474e+01   3.026387e+01   1.112415e+00   1.112415e+00  
8         3.028162e+01   3.024071e+01   1.112616e+00   1.112616e+00  
9         3.026762e+01   3.022668e+01   1.112737e+00   1.112737e+00  
10        3.025910e+01   3.021815e+01   1.112810e+00   1.112810e+00  
11        3.025392e+01   3.021296e+01   1.112855e+00   1.112855e+00  
12        3.025077e+01   3.020980e+01   1.112882e+00   1.112882e+00  
13        3.024885e+01   3.020788e+01   1.112899e+00   1.112899e+00  
14        3.024769e+01   3.020671e+01   1.112909e+00   1.112909e+00  
15        3.024698e+01   3.020601e+01   1.112915e+00   1.112915e+00  
16        3.024656e+01   3.020558e+01   1.112919e+00   1.112919e+00  
17        3.024630e+01   3.020532e+01   1.112921e+00   1.112921e+00  
18        3.024614e+01   3.020516e+01   1.112922e+00   1.112922e+00  
19        3.024605e+01   3.020507e+01   1.112923e+00   1.112923e+00  
20        3.024599e+01   3.020501e+01   1.112924e+00   1.112924e+00  
21        3.024596e+01   3.020498e+01   1.112924e+00   1.112924e+00  
-------------------------------------------------------------------

