
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.100000e+01 * a0, G = 1.275503e+04, G * par = 2.551006e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.550704e+00
     Dipolar cutoffs Rcut = 5.127652e+00, Lcut = 1.757198e+02

QF = 1, QDEPL = 0: h2 = 1.613433e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.874946e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.745622e+00, DY = 8.011956e-02, DZ = 8.011956e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 10000 (NSNAP = 5000)
                     DT = 3.209572e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50063031223e+05   0.000000e+00   -5.619237e+00  1.758925e+01  
1         1.50063030765e+05   0.000000e+00   -5.622539e+00  1.758924e+01  
2         1.50063029885e+05   0.000000e+00   -5.625834e+00  1.758923e+01  
3         1.50063029547e+05   0.000000e+00   -5.628408e+00  1.758922e+01  
4         1.50063027691e+05   0.000000e+00   -5.629848e+00  1.758921e+01  
5         1.50063026251e+05   0.000000e+00   -5.630014e+00  1.758920e+01  
6         1.50063023021e+05   0.000000e+00   -5.628940e+00  1.758919e+01  
7         1.50063019932e+05   0.000000e+00   -5.626748e+00  1.758917e+01  
8         1.50063015248e+05   0.000000e+00   -5.623579e+00  1.758916e+01  
9         1.50063010815e+05   0.000000e+00   -5.619598e+00  1.758914e+01  
10        1.50063004934e+05   0.000000e+00   -5.615001e+00  1.758912e+01  
11        1.50062999716e+05   0.000000e+00   -5.609960e+00  1.758911e+01  
12        1.50062993657e+05   0.000000e+00   -5.604601e+00  1.758909e+01  
13        1.50062987385e+05   0.000000e+00   -5.599015e+00  1.758907e+01  
14        1.50062980851e+05   0.000000e+00   -5.593266e+00  1.758905e+01  
15        1.50062975491e+05   0.000000e+00   -5.587363e+00  1.758903e+01  
16        1.50062967989e+05   0.000000e+00   -5.581269e+00  1.758901e+01  
17        1.50062960616e+05   0.000000e+00   -5.574957e+00  1.758900e+01  
18        1.50062953253e+05   0.000000e+00   -5.568472e+00  1.758898e+01  
19        1.50062945359e+05   0.000000e+00   -5.561950e+00  1.758896e+01  
20        1.50062936905e+05   0.000000e+00   -5.555608e+00  1.758895e+01  
21        1.50062928315e+05   0.000000e+00   -5.549698e+00  1.758893e+01  
22        1.50062918600e+05   0.000000e+00   -5.544464e+00  1.758892e+01  
23        1.50062908750e+05   0.000000e+00   -5.540106e+00  1.758891e+01  
24        1.50062897872e+05   0.000000e+00   -5.536756e+00  1.758890e+01  
25        1.50062886442e+05   0.000000e+00   -5.534475e+00  1.758889e+01  
26        1.50062874333e+05   0.000000e+00   -5.533259e+00  1.758888e+01  
27        1.50062861320e+05   0.000000e+00   -5.533056e+00  1.758888e+01  
28        1.50062847918e+05   0.000000e+00   -5.533776e+00  1.758888e+01  
29        1.50062833416e+05   0.000000e+00   -5.535309e+00  1.758888e+01  
30        1.50062818750e+05   0.000000e+00   -5.537536e+00  1.758888e+01  
31        1.50062802929e+05   0.000000e+00   -5.540339e+00  1.758888e+01  
32        1.50062787058e+05   0.000000e+00   -5.543608e+00  1.758889e+01  
33        1.50062769977e+05   0.000000e+00   -5.547243e+00  1.758889e+01  
34        1.50062752803e+05   0.000000e+00   -5.551156e+00  1.758890e+01  
35        1.50062734447e+05   0.000000e+00   -5.555272e+00  1.758891e+01  
36        1.50062716056e+05   0.000000e+00   -5.559530e+00  1.758892e+01  
37        1.50062696620e+05   0.000000e+00   -5.563875e+00  1.758893e+01  
38        1.50062677120e+05   0.000000e+00   -5.568262e+00  1.758895e+01  
39        1.50062656637e+05   0.000000e+00   -5.572651e+00  1.758896e+01  
40        1.50062636136e+05   0.000000e+00   -5.577008e+00  1.758897e+01  
41        1.50062614795e+05   0.000000e+00   -5.581303e+00  1.758899e+01  
42        1.50062593437e+05   0.000000e+00   -5.585507e+00  1.758901e+01  
43        1.50062571329e+05   0.000000e+00   -5.589596e+00  1.758902e+01  
44        1.50062549131e+05   0.000000e+00   -5.593549e+00  1.758904e+01  
45        1.50062526168e+05   0.000000e+00   -5.597345e+00  1.758905e+01  
46        1.50062503173e+05   0.000000e+00   -5.600967e+00  1.758907e+01  
47        1.50062479762e+05   0.000000e+00   -5.604400e+00  1.758909e+01  
48        1.50062456542e+05   0.000000e+00   -5.607629e+00  1.758910e+01  
49        1.50062433007e+05   0.000000e+00   -5.610642e+00  1.758912e+01  
50        1.50062409568e+05   0.000000e+00   -5.613428e+00  1.758913e+01  
51        1.50062385828e+05   0.000000e+00   -5.615976e+00  1.758915e+01  
52        1.50062362197e+05   0.000000e+00   -5.618278e+00  1.758916e+01  
53        1.50062338290e+05   0.000000e+00   -5.620327e+00  1.758917e+01  
54        1.50062314522e+05   0.000000e+00   -5.622116e+00  1.758918e+01  
55        1.50062290633e+05   0.000000e+00   -5.623642e+00  1.758919e+01  
56        1.50062266946e+05   0.000000e+00   -5.624901e+00  1.758920e+01  
57        1.50062243248e+05   0.000000e+00   -5.625892e+00  1.758921e+01  
58        1.50062219846e+05   0.000000e+00   -5.626616e+00  1.758921e+01  
59        1.50062196518e+05   0.000000e+00   -5.627073e+00  1.758922e+01  
60        1.50062173572e+05   0.000000e+00   -5.627266e+00  1.758922e+01  
61        1.50062150943e+05   0.000000e+00   -5.627198e+00  1.758923e+01  
62        1.50062128726e+05   0.000000e+00   -5.626876e+00  1.758923e+01  
63        1.50062106741e+05   0.000000e+00   -5.626309e+00  1.758923e+01  
64        1.50062085184e+05   0.000000e+00   -5.625507e+00  1.758923e+01  
65        1.50062064115e+05   0.000000e+00   -5.624476e+00  1.758922e+01  
66        1.50062043519e+05   0.000000e+00   -5.623225e+00  1.758922e+01  
67        1.50062023426e+05   0.000000e+00   -5.621761e+00  1.758922e+01  
68        1.50062003743e+05   0.000000e+00   -5.620096e+00  1.758921e+01  
69        1.50061984590e+05   0.000000e+00   -5.618250e+00  1.758920e+01  
70        1.50061965878e+05   0.000000e+00   -5.616241e+00  1.758920e+01  
71        1.50061947742e+05   0.000000e+00   -5.614089e+00  1.758919e+01  
72        1.50061930004e+05   0.000000e+00   -5.611810e+00  1.758918e+01  
73        1.50061912972e+05   0.000000e+00   -5.609418e+00  1.758917e+01  
74        1.50061896255e+05   0.000000e+00   -5.606923e+00  1.758916e+01  
75        1.50061880242e+05   0.000000e+00   -5.604331e+00  1.758915e+01  
76        1.50061864601e+05   0.000000e+00   -5.601654e+00  1.758913e+01  
77        1.50061849580e+05   0.000000e+00   -5.598910e+00  1.758912e+01  
78        1.50061834898e+05   0.000000e+00   -5.596134e+00  1.758911e+01  
79        1.50061820855e+05   0.000000e+00   -5.593364e+00  1.758910e+01  
80        1.50061807013e+05   0.000000e+00   -5.590630e+00  1.758909e+01  
81        1.50061793918e+05   0.000000e+00   -5.587944e+00  1.758907e+01  
82        1.50061780894e+05   0.000000e+00   -5.585309e+00  1.758906e+01  
83        1.50061768501e+05   0.000000e+00   -5.582730e+00  1.758905e+01  
84        1.50061756234e+05   0.000000e+00   -5.580227e+00  1.758904e+01  
85        1.50061744507e+05   0.000000e+00   -5.577821e+00  1.758903e+01  
86        1.50061732874e+05   0.000000e+00   -5.575530e+00  1.758902e+01  
87        1.50061721620e+05   0.000000e+00   -5.573369e+00  1.758901e+01  
88        1.50061710350e+05   0.000000e+00   -5.571346e+00  1.758900e+01  
89        1.50061699422e+05   0.000000e+00   -5.569463e+00  1.758899e+01  
90        1.50061688122e+05   0.000000e+00   -5.567717e+00  1.758898e+01  
91        1.50061677079e+05   0.000000e+00   -5.566116e+00  1.758898e+01  
92        1.50061665396e+05   0.000000e+00   -5.564686e+00  1.758897e+01  
93        1.50061653721e+05   0.000000e+00   -5.563472e+00  1.758897e+01  
94        1.50061641389e+05   0.000000e+00   -5.562515e+00  1.758897e+01  
95        1.50061628798e+05   0.000000e+00   -5.561836e+00  1.758897e+01  
96        1.50061615344e+05   0.000000e+00   -5.561441e+00  1.758896e+01  
97        1.50061601176e+05   0.000000e+00   -5.561318e+00  1.758897e+01  
98        1.50061585935e+05   0.000000e+00   -5.561450e+00  1.758897e+01  
99        1.50061569546e+05   0.000000e+00   -5.561801e+00  1.758897e+01  
100       1.50061551568e+05   0.000000e+00   -5.562323e+00  1.758898e+01  
101       1.50061531662e+05   0.000000e+00   -5.562969e+00  1.758898e+01  
102       1.50061509091e+05   0.000000e+00   -5.563713e+00  1.758899e+01  
103       1.50061483475e+05   0.000000e+00   -5.564557e+00  1.758900e+01  
104       1.50061454046e+05   0.000000e+00   -5.565527e+00  1.758901e+01  
105       1.50061420595e+05   0.000000e+00   -5.566666e+00  1.758902e+01  
106       1.50061381634e+05   0.000000e+00   -5.568017e+00  1.758903e+01  
107       1.50061336619e+05   0.000000e+00   -5.569604e+00  1.758904e+01  
108       1.50061284046e+05   0.000000e+00   -5.571422e+00  1.758906e+01  
109       1.50061224206e+05   0.000000e+00   -5.573440e+00  1.758907e+01  
110       1.50061155786e+05   0.000000e+00   -5.575617e+00  1.758909e+01  
111       1.50061077375e+05   0.000000e+00   -5.577904e+00  1.758911e+01  
112       1.50060985687e+05   0.000000e+00   -5.580252e+00  1.758913e+01  
113       1.50060877219e+05   0.000000e+00   -5.582609e+00  1.758915e+01  
114       1.50060747061e+05   0.000000e+00   -5.584918e+00  1.758917e+01  
115       1.50060590090e+05   0.000000e+00   -5.587115e+00  1.758919e+01  
116       1.50060400539e+05   0.000000e+00   -5.589131e+00  1.758922e+01  
117       1.50060172502e+05   0.000000e+00   -5.590901e+00  1.758925e+01  
118       1.50059898515e+05   0.000000e+00   -5.592356e+00  1.758928e+01  
119       1.50059569801e+05   0.000000e+00   -5.593410e+00  1.758931e+01  
120       1.50059174691e+05   0.000000e+00   -5.593931e+00  1.758935e+01  
121       1.50058697906e+05   0.000000e+00   -5.593705e+00  1.758939e+01  
122       1.50058117498e+05   0.000000e+00   -5.592404e+00  1.758944e+01  
123       1.50057403423e+05   0.000000e+00   -5.589556e+00  1.758950e+01  
124       1.50056512614e+05   0.000000e+00   -5.584513e+00  1.758957e+01  
