
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 6.800000e+01 * a0, G = 1.221608e+04, G * par = 2.443217e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.619118e+00
     Dipolar cutoff Rcut = 4.684656e+00, Lcut = 1.640415e+02

QF = 1: h2 = 1.553141e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 5.227610e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.563148e+00, DY = 7.319775e-02, DZ = 7.319775e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 2.678955e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         1.639054e+01   1.637713e+01   4.688476e-01   4.688476e-01  
1         1.639054e+01   1.637712e+01   4.687448e-01   4.687448e-01  
2         1.639053e+01   1.637712e+01   4.686202e-01   4.686202e-01  
3         1.639052e+01   1.637712e+01   4.684742e-01   4.684742e-01  
4         1.639051e+01   1.637712e+01   4.683075e-01   4.683075e-01  
5         1.639050e+01   1.637712e+01   4.681212e-01   4.681212e-01  
6         1.639048e+01   1.637712e+01   4.679168e-01   4.679168e-01  
7         1.639047e+01   1.637712e+01   4.676962e-01   4.676962e-01  
8         1.639045e+01   1.637711e+01   4.674614e-01   4.674614e-01  
9         1.639043e+01   1.637711e+01   4.672148e-01   4.672148e-01  
10        1.639041e+01   1.637711e+01   4.669589e-01   4.669589e-01  
11        1.639040e+01   1.637710e+01   4.666965e-01   4.666965e-01  
12        1.639038e+01   1.637710e+01   4.664302e-01   4.664302e-01  
13        1.639036e+01   1.637709e+01   4.661628e-01   4.661628e-01  
14        1.639034e+01   1.637709e+01   4.658971e-01   4.658971e-01  
15        1.639032e+01   1.637709e+01   4.656359e-01   4.656359e-01  
16        1.639030e+01   1.637708e+01   4.653819e-01   4.653819e-01  
17        1.639028e+01   1.637708e+01   4.651378e-01   4.651378e-01  
18        1.639027e+01   1.637708e+01   4.649065e-01   4.649065e-01  
19        1.639025e+01   1.637707e+01   4.646905e-01   4.646905e-01  
20        1.639024e+01   1.637707e+01   4.644925e-01   4.644925e-01  
21        1.639023e+01   1.637707e+01   4.643152e-01   4.643152e-01  
22        1.639022e+01   1.637707e+01   4.641608e-01   4.641608e-01  
23        1.639021e+01   1.637707e+01   4.640315e-01   4.640315e-01  
24        1.639020e+01   1.637707e+01   4.639290e-01   4.639290e-01  
25        1.639020e+01   1.637707e+01   4.638546e-01   4.638546e-01  
26        1.639020e+01   1.637707e+01   4.638093e-01   4.638093e-01  
27        1.639020e+01   1.637707e+01   4.637935e-01   4.637935e-01  
28        1.639020e+01   1.637707e+01   4.638074e-01   4.638074e-01  
29        1.639021e+01   1.637708e+01   4.638506e-01   4.638506e-01  
30        1.639022e+01   1.637708e+01   4.639222e-01   4.639222e-01  
