
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.600000e+01 * a0, G = 1.365327e+04, G * par = 2.730654e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.448684e+00
     Dipolar cutoff Rcut = 6.070809e+00, Lcut = 1.950215e+02

QF = 1: h2 = 1.717839e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.378376e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.047211e+00, DY = 9.485639e-02, DZ = 9.485639e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 10000 (NSNAP = 5000)
                     DT = 4.498867e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         1.735368e+01   1.733109e+01   6.258963e-01   6.258963e-01  
1         1.735367e+01   1.733109e+01   6.257892e-01   6.257892e-01  
2         1.735367e+01   1.733110e+01   6.256650e-01   6.256650e-01  
3         1.735366e+01   1.733110e+01   6.255236e-01   6.255236e-01  
4         1.735366e+01   1.733111e+01   6.253649e-01   6.253649e-01  
5         1.735366e+01   1.733112e+01   6.251890e-01   6.251890e-01  
6         1.735366e+01   1.733113e+01   6.249962e-01   6.249962e-01  
7         1.735365e+01   1.733115e+01   6.247868e-01   6.247868e-01  
8         1.735365e+01   1.733116e+01   6.245612e-01   6.245612e-01  
9         1.735366e+01   1.733118e+01   6.243202e-01   6.243202e-01  
10        1.735366e+01   1.733120e+01   6.240646e-01   6.240646e-01  
11        1.735366e+01   1.733122e+01   6.237953e-01   6.237953e-01  
12        1.735366e+01   1.733125e+01   6.235135e-01   6.235135e-01  
13        1.735367e+01   1.733127e+01   6.232204e-01   6.232204e-01  
14        1.735368e+01   1.733130e+01   6.229174e-01   6.229174e-01  
15        1.735369e+01   1.733134e+01   6.226060e-01   6.226060e-01  
16        1.735370e+01   1.733137e+01   6.222878e-01   6.222878e-01  
17        1.735371e+01   1.733141e+01   6.219646e-01   6.219646e-01  
18        1.735373e+01   1.733145e+01   6.216382e-01   6.216382e-01  
19        1.735375e+01   1.733149e+01   6.213106e-01   6.213106e-01  
20        1.735377e+01   1.733154e+01   6.209842e-01   6.209842e-01  
21        1.735380e+01   1.733159e+01   6.206611e-01   6.206611e-01  
22        1.735383e+01   1.733164e+01   6.203439e-01   6.203439e-01  
23        1.735386e+01   1.733170e+01   6.200349e-01   6.200349e-01  
24        1.735390e+01   1.733176e+01   6.197367e-01   6.197367e-01  
25        1.735395e+01   1.733182e+01   6.194517e-01   6.194517e-01  
26        1.735399e+01   1.733189e+01   6.191822e-01   6.191822e-01  
27        1.735405e+01   1.733196e+01   6.189305e-01   6.189305e-01  
28        1.735411e+01   1.733203e+01   6.186985e-01   6.186985e-01  
29        1.735417e+01   1.733211e+01   6.184882e-01   6.184882e-01  
30        1.735424e+01   1.733220e+01   6.183011e-01   6.183011e-01  
31        1.735432e+01   1.733229e+01   6.181387e-01   6.181387e-01  
32        1.735440e+01   1.733238e+01   6.180020e-01   6.180020e-01  
33        1.735449e+01   1.733248e+01   6.178920e-01   6.178920e-01  
34        1.735459e+01   1.733258e+01   6.178093e-01   6.178093e-01  
35        1.735469e+01   1.733269e+01   6.177542e-01   6.177542e-01  
36        1.735480e+01   1.733280e+01   6.177270e-01   6.177270e-01  
37        1.735491e+01   1.733291e+01   6.177276e-01   6.177276e-01  
38        1.735504e+01   1.733303e+01   6.177555e-01   6.177555e-01  
39        1.735516e+01   1.733316e+01   6.178105e-01   6.178105e-01  
40        1.735530e+01   1.733329e+01   6.178916e-01   6.178916e-01  
41        1.735544e+01   1.733342e+01   6.179982e-01   6.179982e-01  
42        1.735559e+01   1.733356e+01   6.181290e-01   6.181290e-01  
43        1.735575e+01   1.733371e+01   6.182831e-01   6.182831e-01  
44        1.735591e+01   1.733386e+01   6.184590e-01   6.184590e-01  
