
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.600000e+01 * a0, G = 1.365327e+04, G * par = 2.730654e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par = 9.435331e+03, edd = 1.447368e+00
     Dipolar cutoff Rcut = 5.888311e+00, Lcut = 2.194518e+02

QF = 1: h2 = 1.715415e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.372198e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.428934e+00, DY = 9.200486e-02, DZ = 9.200486e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 4.232447e-03

Initial state: Gaussian
               SX = 2.194518e+01, SY = 5.888311e-01, SZ = 5.888311e-01
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-06, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         2.196097e+01   2.194518e+01   5.888311e-01   5.888311e-01  
1         2.091312e+01   2.089629e+01   5.930971e-01   5.930971e-01  
2         2.042741e+01   2.040993e+01   5.974277e-01   5.974277e-01  
3         2.016738e+01   2.014950e+01   6.002797e-01   6.002797e-01  
4         2.000116e+01   1.998303e+01   6.020901e-01   6.020901e-01  
5         1.988162e+01   1.986330e+01   6.033639e-01   6.033639e-01  
6         1.979107e+01   1.977261e+01   6.043124e-01   6.043124e-01  
7         1.972160e+01   1.970303e+01   6.050318e-01   6.050318e-01  
8         1.966866e+01   1.965000e+01   6.055762e-01   6.055762e-01  
9         1.962889e+01   1.961018e+01   6.059833e-01   6.059833e-01  
10        1.959948e+01   1.958072e+01   6.062837e-01   6.062837e-01  
11        1.957801e+01   1.955921e+01   6.065027e-01   6.065027e-01  
12        1.956246e+01   1.954364e+01   6.066611e-01   6.066611e-01  
13        1.955124e+01   1.953240e+01   6.067752e-01   6.067752e-01  
14        1.954314e+01   1.952429e+01   6.068574e-01   6.068574e-01  
15        1.953728e+01   1.951842e+01   6.069169e-01   6.069169e-01  
16        1.953302e+01   1.951415e+01   6.069600e-01   6.069600e-01  
17        1.952990e+01   1.951103e+01   6.069916e-01   6.069916e-01  
18        1.952761e+01   1.950873e+01   6.070147e-01   6.070147e-01  
19        1.952592e+01   1.950704e+01   6.070318e-01   6.070318e-01  
20        1.952466e+01   1.950578e+01   6.070444e-01   6.070444e-01  
21        1.952373e+01   1.950484e+01   6.070539e-01   6.070539e-01  
22        1.952303e+01   1.950414e+01   6.070609e-01   6.070609e-01  
23        1.952251e+01   1.950362e+01   6.070662e-01   6.070662e-01  
24        1.952211e+01   1.950323e+01   6.070701e-01   6.070701e-01  
25        1.952182e+01   1.950293e+01   6.070731e-01   6.070731e-01  
26        1.952160e+01   1.950271e+01   6.070753e-01   6.070753e-01  
27        1.952143e+01   1.950254e+01   6.070770e-01   6.070770e-01  
28        1.952130e+01   1.950241e+01   6.070782e-01   6.070782e-01  
29        1.952121e+01   1.950232e+01   6.070792e-01   6.070792e-01  
30        1.952114e+01   1.950225e+01   6.070799e-01   6.070799e-01  
31        1.952108e+01   1.950219e+01   6.070805e-01   6.070805e-01  
32        1.952104e+01   1.950215e+01   6.070809e-01   6.070809e-01  
-------------------------------------------------------------------

