
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.000000e+01 * a0, G = 1.257538e+04, G * par = 2.515076e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par = 9.435331e+03, edd = 1.571429e+00
     Dipolar cutoff Rcut = 4.960825e+00, Lcut = 1.721812e+02

QF = 1: h2 = 1.590810e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.980098e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.690331e+00, DY = 7.751289e-02, DZ = 7.751289e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 3.004124e-03

Initial state: Gaussian
               SX = 1.721812e+01, SY = 4.960825e-01, SZ = 4.960825e-01
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-06, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         1.723241e+01   1.721812e+01   4.960825e-01   4.960825e-01  
1         1.744080e+01   1.742678e+01   4.943957e-01   4.943957e-01  
2         1.731474e+01   1.730055e+01   4.955159e-01   4.955159e-01  
3         1.725370e+01   1.723942e+01   4.962475e-01   4.962475e-01  
4         1.721968e+01   1.720535e+01   4.966572e-01   4.966572e-01  
5         1.719835e+01   1.718399e+01   4.969126e-01   4.969126e-01  
6         1.718384e+01   1.716945e+01   4.970857e-01   4.970857e-01  
7         1.717339e+01   1.715899e+01   4.972098e-01   4.972098e-01  
8         1.716556e+01   1.715115e+01   4.973026e-01   4.973026e-01  
9         1.715953e+01   1.714511e+01   4.973739e-01   4.973739e-01  
10        1.715479e+01   1.714036e+01   4.974300e-01   4.974300e-01  
11        1.715098e+01   1.713655e+01   4.974748e-01   4.974748e-01  
12        1.714790e+01   1.713346e+01   4.975111e-01   4.975111e-01  
13        1.714538e+01   1.713093e+01   4.975409e-01   4.975409e-01  
14        1.714329e+01   1.712884e+01   4.975655e-01   4.975655e-01  
15        1.714155e+01   1.712710e+01   4.975859e-01   4.975859e-01  
16        1.714009e+01   1.712564e+01   4.976030e-01   4.976030e-01  
17        1.713887e+01   1.712442e+01   4.976174e-01   4.976174e-01  
18        1.713784e+01   1.712338e+01   4.976295e-01   4.976295e-01  
19        1.713696e+01   1.712251e+01   4.976398e-01   4.976398e-01  
20        1.713622e+01   1.712176e+01   4.976485e-01   4.976485e-01  
21        1.713559e+01   1.712113e+01   4.976560e-01   4.976560e-01  
22        1.713505e+01   1.712059e+01   4.976623e-01   4.976623e-01  
23        1.713458e+01   1.712012e+01   4.976678e-01   4.976678e-01  
24        1.713419e+01   1.711973e+01   4.976724e-01   4.976724e-01  
25        1.713385e+01   1.711939e+01   4.976764e-01   4.976764e-01  
26        1.713356e+01   1.711910e+01   4.976798e-01   4.976798e-01  
27        1.713331e+01   1.711885e+01   4.976827e-01   4.976827e-01  
28        1.713309e+01   1.711863e+01   4.976852e-01   4.976852e-01  
29        1.713291e+01   1.711845e+01   4.976874e-01   4.976874e-01  
30        1.713275e+01   1.711829e+01   4.976893e-01   4.976893e-01  
31        1.713261e+01   1.711815e+01   4.976909e-01   4.976909e-01  
32        1.713250e+01   1.711803e+01   4.976922e-01   4.976922e-01  
33        1.713239e+01   1.711793e+01   4.976934e-01   4.976934e-01  
34        1.713231e+01   1.711784e+01   4.976945e-01   4.976945e-01  
35        1.713223e+01   1.711777e+01   4.976954e-01   4.976954e-01  
36        1.713217e+01   1.711770e+01   4.976961e-01   4.976961e-01  
37        1.713211e+01   1.711765e+01   4.976968e-01   4.976968e-01  
38        1.713206e+01   1.711760e+01   4.976973e-01   4.976973e-01  
39        1.713202e+01   1.711756e+01   4.976978e-01   4.976978e-01  
-------------------------------------------------------------------

