
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.200000e+01 * a0, G = 1.473116e+04, G * par = 2.946232e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.342683e+00
     Dipolar cutoffs Rcut = 7.680842e+00, Lcut = 2.348104e+02

QF = 1, QDEPL = 0: h2 = 1.849810e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.899035e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.668913e+00, DY = 1.200132e-01, DZ = 1.200132e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 10000 (NSNAP = 5000)
                     DT = 7.201579e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50301145556e+05   0.000000e+00   -1.440416e+00  2.352497e+01  
1         1.50301145115e+05   0.000000e+00   -1.440849e+00  2.352496e+01  
2         1.50301144656e+05   0.000000e+00   -1.441295e+00  2.352495e+01  
3         1.50301144172e+05   0.000000e+00   -1.441687e+00  2.352494e+01  
4         1.50301143682e+05   0.000000e+00   -1.441974e+00  2.352493e+01  
5         1.50301143208e+05   0.000000e+00   -1.442119e+00  2.352491e+01  
6         1.50301142769e+05   0.000000e+00   -1.442100e+00  2.352489e+01  
7         1.50301142392e+05   0.000000e+00   -1.441908e+00  2.352487e+01  
8         1.50301142104e+05   0.000000e+00   -1.441547e+00  2.352485e+01  
9         1.50301141924e+05   0.000000e+00   -1.441024e+00  2.352483e+01  
10        1.50301141867e+05   0.000000e+00   -1.440355e+00  2.352481e+01  
11        1.50301141949e+05   0.000000e+00   -1.439554e+00  2.352479e+01  
12        1.50301142187e+05   0.000000e+00   -1.438632e+00  2.352476e+01  
13        1.50301142552e+05   0.000000e+00   -1.437597e+00  2.352474e+01  
14        1.50301143056e+05   0.000000e+00   -1.436455e+00  2.352471e+01  
15        1.50301143733e+05   0.000000e+00   -1.435217e+00  2.352469e+01  
16        1.50301144546e+05   0.000000e+00   -1.433896e+00  2.352466e+01  
17        1.50301145482e+05   0.000000e+00   -1.432512e+00  2.352463e+01  
18        1.50301146558e+05   0.000000e+00   -1.431093e+00  2.352461e+01  
19        1.50301147746e+05   0.000000e+00   -1.429671e+00  2.352458e+01  
20        1.50301149051e+05   0.000000e+00   -1.428282e+00  2.352455e+01  
21        1.50301150463e+05   0.000000e+00   -1.426957e+00  2.352453e+01  
22        1.50301151969e+05   0.000000e+00   -1.425725e+00  2.352450e+01  
23        1.50301153567e+05   0.000000e+00   -1.424608e+00  2.352448e+01  
24        1.50301155244e+05   0.000000e+00   -1.423622e+00  2.352446e+01  
25        1.50301156991e+05   0.000000e+00   -1.422775e+00  2.352444e+01  
26        1.50301158800e+05   0.000000e+00   -1.422071e+00  2.352442e+01  
27        1.50301160656e+05   0.000000e+00   -1.421508e+00  2.352440e+01  
28        1.50301162556e+05   0.000000e+00   -1.421081e+00  2.352438e+01  
29        1.50301164478e+05   0.000000e+00   -1.420781e+00  2.352437e+01  
30        1.50301166422e+05   0.000000e+00   -1.420599e+00  2.352435e+01  
31        1.50301168365e+05   0.000000e+00   -1.420524e+00  2.352434e+01  
32        1.50301170306e+05   0.000000e+00   -1.420544e+00  2.352433e+01  
33        1.50301172220e+05   0.000000e+00   -1.420649e+00  2.352432e+01  
34        1.50301174101e+05   0.000000e+00   -1.420829e+00  2.352431e+01  
35        1.50301175923e+05   0.000000e+00   -1.421074e+00  2.352431e+01  
36        1.50301177679e+05   0.000000e+00   -1.421376e+00  2.352431e+01  
37        1.50301179349e+05   0.000000e+00   -1.421726e+00  2.352430e+01  
38        1.50301180925e+05   0.000000e+00   -1.422118e+00  2.352430e+01  
39        1.50301182384e+05   0.000000e+00   -1.422545e+00  2.352431e+01  
40        1.50301183719e+05   0.000000e+00   -1.423002e+00  2.352431e+01  
41        1.50301184907e+05   0.000000e+00   -1.423482e+00  2.352431e+01  
42        1.50301185939e+05   0.000000e+00   -1.423983e+00  2.352432e+01  
43        1.50301186793e+05   0.000000e+00   -1.424498e+00  2.352433e+01  
44        1.50301187471e+05   0.000000e+00   -1.425025e+00  2.352434e+01  
