
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.600000e+01 * a0, G = 1.544975e+04, G * par = 3.089950e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.280233e+00
     Dipolar cutoffs Rcut = 9.318672e+00, Lcut = 2.680012e+02

QF = 1, QDEPL = 0: h2 = 1.941991e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.633838e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.187519e+00, DY = 1.456042e-01, DZ = 1.456042e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 2500 (NSNAP = 1250)
                     DT = 1.060030e-02

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50096900172e+05   0.000000e+00   -7.646966e-01  2.683872e+01  
1         1.50096899732e+05   0.000000e+00   -7.648661e-01  2.683871e+01  
2         1.50096899293e+05   0.000000e+00   -7.650451e-01  2.683870e+01  
3         1.50096898873e+05   0.000000e+00   -7.652107e-01  2.683869e+01  
4         1.50096898481e+05   0.000000e+00   -7.653427e-01  2.683867e+01  
5         1.50096898141e+05   0.000000e+00   -7.654250e-01  2.683865e+01  
6         1.50096897861e+05   0.000000e+00   -7.654468e-01  2.683863e+01  
7         1.50096897661e+05   0.000000e+00   -7.654022e-01  2.683861e+01  
8         1.50096897545e+05   0.000000e+00   -7.652893e-01  2.683859e+01  
9         1.50096897528e+05   0.000000e+00   -7.651091e-01  2.683857e+01  
10        1.50096897608e+05   0.000000e+00   -7.648643e-01  2.683855e+01  
11        1.50096897798e+05   0.000000e+00   -7.645575e-01  2.683852e+01  
12        1.50096898097e+05   0.000000e+00   -7.641918e-01  2.683850e+01  
13        1.50096898505e+05   0.000000e+00   -7.637707e-01  2.683847e+01  
14        1.50096899017e+05   0.000000e+00   -7.632991e-01  2.683845e+01  
15        1.50096899646e+05   0.000000e+00   -7.627844e-01  2.683842e+01  
16        1.50096900383e+05   0.000000e+00   -7.622368e-01  2.683839e+01  
17        1.50096901229e+05   0.000000e+00   -7.616685e-01  2.683836e+01  
18        1.50096902183e+05   0.000000e+00   -7.610931e-01  2.683833e+01  
19        1.50096903246e+05   0.000000e+00   -7.605247e-01  2.683831e+01  
20        1.50096904412e+05   0.000000e+00   -7.599760e-01  2.683828e+01  
21        1.50096905686e+05   0.000000e+00   -7.594583e-01  2.683825e+01  
22        1.50096907061e+05   0.000000e+00   -7.589806e-01  2.683822e+01  
23        1.50096908540e+05   0.000000e+00   -7.585493e-01  2.683820e+01  
24        1.50096910116e+05   0.000000e+00   -7.581684e-01  2.683817e+01  
25        1.50096911790e+05   0.000000e+00   -7.578398e-01  2.683814e+01  
26        1.50096913556e+05   0.000000e+00   -7.575636e-01  2.683812e+01  
27        1.50096915411e+05   0.000000e+00   -7.573383e-01  2.683810e+01  
28        1.50096917349e+05   0.000000e+00   -7.571615e-01  2.683807e+01  
29        1.50096919366e+05   0.000000e+00   -7.570300e-01  2.683805e+01  
30        1.50096921454e+05   0.000000e+00   -7.569400e-01  2.683803e+01  
