
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.700000e+01 * a0, G = 1.562940e+04, G * par = 3.125880e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par = 9.435331e+03, edd = 1.264368e+00
     Dipolar cutoff Rcut = 9.846936e+00, Lcut = 2.778961e+02

QF = 1: h2 = 1.962985e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.568482e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.342127e+00, DY = 1.538584e-01, DZ = 1.538584e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 1.183620e-02

Initial state: Gaussian
               SX = 2.778961e+01, SY = 9.846936e-01, SZ = 9.846936e-01
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-06, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         2.782448e+01   2.778961e+01   9.846936e-01   9.846936e-01  
1         2.836857e+01   2.833429e+01   9.857587e-01   9.857587e-01  
2         2.819691e+01   2.816256e+01   9.838613e-01   9.838613e-01  
3         2.807363e+01   2.803909e+01   9.844722e-01   9.844722e-01  
4         2.799010e+01   2.795540e+01   9.851313e-01   9.851313e-01  
5         2.793456e+01   2.789976e+01   9.856029e-01   9.856029e-01  
6         2.789737e+01   2.786250e+01   9.859219e-01   9.859219e-01  
7         2.787210e+01   2.783719e+01   9.861377e-01   9.861377e-01  
8         2.785465e+01   2.781971e+01   9.862855e-01   9.862855e-01  
9         2.784244e+01   2.780747e+01   9.863881e-01   9.863881e-01  
10        2.783377e+01   2.779879e+01   9.864603e-01   9.864603e-01  
11        2.782756e+01   2.779256e+01   9.865117e-01   9.865117e-01  
12        2.782307e+01   2.778806e+01   9.865487e-01   9.865487e-01  
13        2.781980e+01   2.778479e+01   9.865755e-01   9.865755e-01  
14        2.781740e+01   2.778239e+01   9.865950e-01   9.865950e-01  
15        2.781564e+01   2.778063e+01   9.866093e-01   9.866093e-01  
16        2.781435e+01   2.777933e+01   9.866199e-01   9.866199e-01  
17        2.781339e+01   2.777837e+01   9.866277e-01   9.866277e-01  
18        2.781268e+01   2.777766e+01   9.866334e-01   9.866334e-01  
19        2.781215e+01   2.777713e+01   9.866377e-01   9.866377e-01  
20        2.781176e+01   2.777674e+01   9.866408e-01   9.866408e-01  
21        2.781147e+01   2.777645e+01   9.866432e-01   9.866432e-01  
22        2.781126e+01   2.777623e+01   9.866449e-01   9.866449e-01  
23        2.781110e+01   2.777607e+01   9.866462e-01   9.866462e-01  
24        2.781098e+01   2.777595e+01   9.866472e-01   9.866472e-01  
25        2.781089e+01   2.777586e+01   9.866479e-01   9.866479e-01  
26        2.781082e+01   2.777580e+01   9.866484e-01   9.866484e-01  
27        2.781077e+01   2.777575e+01   9.866488e-01   9.866488e-01  
-------------------------------------------------------------------

