
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.200000e+01 * a0, G = 1.293468e+04, G * par = 2.586935e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.529167e+00
     Dipolar cutoff Rcut = 5.292377e+00, Lcut = 1.798985e+02

QF = 1: h2 = 1.633919e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.767205e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.810914e+00, DY = 8.269339e-02, DZ = 8.269339e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 3.419098e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         1.800694e+01   1.799137e+01   5.293728e-01   5.293728e-01  
1         1.800693e+01   1.799137e+01   5.292663e-01   5.292663e-01  
2         1.800692e+01   1.799137e+01   5.291426e-01   5.291426e-01  
3         1.800691e+01   1.799137e+01   5.290019e-01   5.290019e-01  
4         1.800690e+01   1.799137e+01   5.288447e-01   5.288447e-01  
5         1.800689e+01   1.799136e+01   5.286718e-01   5.286718e-01  
6         1.800688e+01   1.799136e+01   5.284840e-01   5.284840e-01  
7         1.800686e+01   1.799136e+01   5.282825e-01   5.282825e-01  
8         1.800685e+01   1.799136e+01   5.280689e-01   5.280689e-01  
9         1.800683e+01   1.799135e+01   5.278447e-01   5.278447e-01  
10        1.800681e+01   1.799135e+01   5.276118e-01   5.276118e-01  
11        1.800680e+01   1.799134e+01   5.273721e-01   5.273721e-01  
12        1.800678e+01   1.799134e+01   5.271275e-01   5.271275e-01  
13        1.800676e+01   1.799133e+01   5.268802e-01   5.268802e-01  
14        1.800674e+01   1.799133e+01   5.266323e-01   5.266323e-01  
15        1.800672e+01   1.799133e+01   5.263859e-01   5.263859e-01  
16        1.800670e+01   1.799132e+01   5.261432e-01   5.261432e-01  
17        1.800668e+01   1.799132e+01   5.259064e-01   5.259064e-01  
18        1.800666e+01   1.799131e+01   5.256777e-01   5.256777e-01  
19        1.800665e+01   1.799131e+01   5.254594e-01   5.254594e-01  
20        1.800663e+01   1.799130e+01   5.252538e-01   5.252538e-01  
21        1.800662e+01   1.799130e+01   5.250629e-01   5.250629e-01  
22        1.800660e+01   1.799129e+01   5.248888e-01   5.248888e-01  
23        1.800659e+01   1.799129e+01   5.247335e-01   5.247335e-01  
24        1.800658e+01   1.799129e+01   5.245985e-01   5.245985e-01  
25        1.800657e+01   1.799129e+01   5.244853e-01   5.244853e-01  
26        1.800656e+01   1.799128e+01   5.243951e-01   5.243951e-01  
27        1.800656e+01   1.799128e+01   5.243286e-01   5.243286e-01  
28        1.800655e+01   1.799128e+01   5.242864e-01   5.242864e-01  
29        1.800655e+01   1.799128e+01   5.242686e-01   5.242686e-01  
30        1.800655e+01   1.799128e+01   5.242754e-01   5.242754e-01  
31        1.800656e+01   1.799128e+01   5.243061e-01   5.243061e-01  
32        1.800656e+01   1.799128e+01   5.243604e-01   5.243604e-01  
33        1.800657e+01   1.799129e+01   5.244372e-01   5.244372e-01  
34        1.800657e+01   1.799129e+01   5.245355e-01   5.245355e-01  
35        1.800658e+01   1.799129e+01   5.246541e-01   5.246541e-01  
36        1.800659e+01   1.799129e+01   5.247916e-01   5.247916e-01  
37        1.800660e+01   1.799129e+01   5.249465e-01   5.249465e-01  
38        1.800662e+01   1.799130e+01   5.251171e-01   5.251171e-01  
39        1.800663e+01   1.799130e+01   5.253016e-01   5.253016e-01  
40        1.800665e+01   1.799130e+01   5.254984e-01   5.254984e-01  
41        1.800666e+01   1.799131e+01   5.257055e-01   5.257055e-01  
42        1.800668e+01   1.799131e+01   5.259211e-01   5.259211e-01  
43        1.800670e+01   1.799132e+01   5.261432e-01   5.261432e-01  
44        1.800671e+01   1.799132e+01   5.263701e-01   5.263701e-01  
45        1.800673e+01   1.799132e+01   5.265999e-01   5.265999e-01  
46        1.800675e+01   1.799133e+01   5.268306e-01   5.268306e-01  
47        1.800677e+01   1.799133e+01   5.270607e-01   5.270607e-01  
48        1.800678e+01   1.799134e+01   5.272882e-01   5.272882e-01  
49        1.800680e+01   1.799134e+01   5.275116e-01   5.275116e-01  
50        1.800682e+01   1.799134e+01   5.277293e-01   5.277293e-01  
51        1.800683e+01   1.799135e+01   5.279397e-01   5.279397e-01  
52        1.800685e+01   1.799135e+01   5.281414e-01   5.281414e-01  
53        1.800686e+01   1.799135e+01   5.283330e-01   5.283330e-01  
54        1.800687e+01   1.799135e+01   5.285133e-01   5.285133e-01  
55        1.800689e+01   1.799136e+01   5.286813e-01   5.286813e-01  
56        1.800690e+01   1.799136e+01   5.288358e-01   5.288358e-01  
57        1.800691e+01   1.799136e+01   5.289761e-01   5.289761e-01  
58        1.800692e+01   1.799136e+01   5.291014e-01   5.291014e-01  
59        1.800693e+01   1.799137e+01   5.292110e-01   5.292110e-01  
60        1.800693e+01   1.799137e+01   5.293044e-01   5.293044e-01  
61        1.800694e+01   1.799137e+01   5.293813e-01   5.293813e-01  
62        1.800694e+01   1.799137e+01   5.294413e-01   5.294413e-01  
63        1.800695e+01   1.799137e+01   5.294844e-01   5.294844e-01  
64        1.800695e+01   1.799137e+01   5.295104e-01   5.295104e-01  
65        1.800695e+01   1.799137e+01   5.295194e-01   5.295194e-01  
66        1.800695e+01   1.799137e+01   5.295117e-01   5.295117e-01  
67        1.800695e+01   1.799137e+01   5.294876e-01   5.294876e-01  
68        1.800694e+01   1.799137e+01   5.294474e-01   5.294474e-01  
69        1.800694e+01   1.799137e+01   5.293916e-01   5.293916e-01  
70        1.800694e+01   1.799137e+01   5.293209e-01   5.293209e-01  
71        1.800693e+01   1.799137e+01   5.292359e-01   5.292359e-01  
72        1.800692e+01   1.799137e+01   5.291374e-01   5.291374e-01  
73        1.800691e+01   1.799137e+01   5.290263e-01   5.290263e-01  
74        1.800691e+01   1.799136e+01   5.289035e-01   5.289035e-01  
75        1.800690e+01   1.799136e+01   5.287701e-01   5.287701e-01  
76        1.800689e+01   1.799136e+01   5.286270e-01   5.286270e-01  
77        1.800688e+01   1.799136e+01   5.284754e-01   5.284754e-01  
78        1.800687e+01   1.799136e+01   5.283165e-01   5.283165e-01  
79        1.800686e+01   1.799136e+01   5.281515e-01   5.281515e-01  
80        1.800684e+01   1.799136e+01   5.279816e-01   5.279816e-01  
81        1.800683e+01   1.799136e+01   5.278080e-01   5.278080e-01  
82        1.800682e+01   1.799135e+01   5.276321e-01   5.276321e-01  
83        1.800681e+01   1.799135e+01   5.274551e-01   5.274551e-01  
84        1.800680e+01   1.799135e+01   5.272783e-01   5.272783e-01  
85        1.800679e+01   1.799135e+01   5.271030e-01   5.271030e-01  
86        1.800678e+01   1.799135e+01   5.269303e-01   5.269303e-01  
87        1.800677e+01   1.799135e+01   5.267615e-01   5.267615e-01  
88        1.800676e+01   1.799135e+01   5.265977e-01   5.265977e-01  
89        1.800675e+01   1.799135e+01   5.264402e-01   5.264402e-01  
90        1.800674e+01   1.799135e+01   5.262899e-01   5.262899e-01  
91        1.800674e+01   1.799136e+01   5.261478e-01   5.261478e-01  
92        1.800673e+01   1.799136e+01   5.260151e-01   5.260151e-01  
93        1.800672e+01   1.799136e+01   5.258924e-01   5.258924e-01  
94        1.800672e+01   1.799136e+01   5.257808e-01   5.257808e-01  
95        1.800672e+01   1.799136e+01   5.256808e-01   5.256808e-01  
96        1.800671e+01   1.799137e+01   5.255931e-01   5.255931e-01  
97        1.800671e+01   1.799137e+01   5.255183e-01   5.255183e-01  
98        1.800671e+01   1.799137e+01   5.254568e-01   5.254568e-01  
99        1.800671e+01   1.799138e+01   5.254089e-01   5.254089e-01  
100       1.800671e+01   1.799138e+01   5.253749e-01   5.253749e-01  
101       1.800672e+01   1.799138e+01   5.253548e-01   5.253548e-01  
102       1.800672e+01   1.799139e+01   5.253487e-01   5.253487e-01  
103       1.800673e+01   1.799139e+01   5.253565e-01   5.253565e-01  
104       1.800674e+01   1.799140e+01   5.253782e-01   5.253782e-01  
105       1.800674e+01   1.799141e+01   5.254135e-01   5.254135e-01  
106       1.800675e+01   1.799141e+01   5.254621e-01   5.254621e-01  
107       1.800676e+01   1.799142e+01   5.255236e-01   5.255236e-01  
108       1.800677e+01   1.799143e+01   5.255975e-01   5.255975e-01  
109       1.800679e+01   1.799143e+01   5.256833e-01   5.256833e-01  
110       1.800680e+01   1.799144e+01   5.257803e-01   5.257803e-01  
111       1.800681e+01   1.799145e+01   5.258878e-01   5.258878e-01  
112       1.800683e+01   1.799146e+01   5.260048e-01   5.260048e-01  
113       1.800685e+01   1.799147e+01   5.261305e-01   5.261305e-01  
114       1.800686e+01   1.799148e+01   5.262639e-01   5.262639e-01  
115       1.800688e+01   1.799149e+01   5.264039e-01   5.264039e-01  
116       1.800690e+01   1.799150e+01   5.265496e-01   5.265496e-01  
117       1.800692e+01   1.799151e+01   5.267000e-01   5.267000e-01  
118       1.800694e+01   1.799152e+01   5.268539e-01   5.268539e-01  
119       1.800696e+01   1.799153e+01   5.270102e-01   5.270102e-01  
120       1.800698e+01   1.799154e+01   5.271679e-01   5.271679e-01  
121       1.800701e+01   1.799156e+01   5.273258e-01   5.273258e-01  
122       1.800703e+01   1.799157e+01   5.274829e-01   5.274829e-01  
123       1.800706e+01   1.799159e+01   5.276381e-01   5.276381e-01  
124       1.800709e+01   1.799161e+01   5.277902e-01   5.277902e-01  
125       1.800712e+01   1.799163e+01   5.279385e-01   5.279385e-01  
126       1.800715e+01   1.799165e+01   5.280819e-01   5.280819e-01  
127       1.800718e+01   1.799168e+01   5.282197e-01   5.282197e-01  
128       1.800722e+01   1.799171e+01   5.283511e-01   5.283511e-01  
129       1.800726e+01   1.799175e+01   5.284753e-01   5.284753e-01  
130       1.800731e+01   1.799179e+01   5.285919e-01   5.285919e-01  
131       1.800737e+01   1.799184e+01   5.287006e-01   5.287006e-01  
132       1.800744e+01   1.799190e+01   5.288012e-01   5.288012e-01  
133       1.800752e+01   1.799198e+01   5.288941e-01   5.288941e-01  
134       1.800762e+01   1.799207e+01   5.289800e-01   5.289800e-01  
135       1.800774e+01   1.799219e+01   5.290601e-01   5.290601e-01  
136       1.800789e+01   1.799234e+01   5.291362e-01   5.291362e-01  
137       1.800809e+01   1.799253e+01   5.292111e-01   5.292111e-01  
138       1.800835e+01   1.799279e+01   5.292884e-01   5.292884e-01  
139       1.800868e+01   1.799312e+01   5.293731e-01   5.293731e-01  
140       1.800911e+01   1.799354e+01   5.294712e-01   5.294712e-01  
141       1.800966e+01   1.799408e+01   5.295902e-01   5.295902e-01  
142       1.801034e+01   1.799476e+01   5.297389e-01   5.297389e-01  
143       1.801116e+01   1.799557e+01   5.299275e-01   5.299275e-01  
144       1.801212e+01   1.799651e+01   5.301673e-01   5.301673e-01  
145       1.801321e+01   1.799758e+01   5.304706e-01   5.304706e-01  
146       1.801441e+01   1.799876e+01   5.308511e-01   5.308511e-01  
147       1.801571e+01   1.800003e+01   5.313232e-01   5.313232e-01  
148       1.801709e+01   1.800138e+01   5.319020e-01   5.319020e-01  
149       1.801853e+01   1.800278e+01   5.326030e-01   5.326030e-01  
150       1.802002e+01   1.800422e+01   5.334415e-01   5.334415e-01  
151       1.802153e+01   1.800568e+01   5.344324e-01   5.344324e-01  
152       1.802306e+01   1.800713e+01   5.355896e-01   5.355896e-01  
153       1.802456e+01   1.800856e+01   5.369264e-01   5.369264e-01  
154       1.802603e+01   1.800994e+01   5.384548e-01   5.384548e-01  
155       1.802745e+01   1.801125e+01   5.401854e-01   5.401854e-01  
156       1.802880e+01   1.801250e+01   5.421274e-01   5.421274e-01  
157       1.803009e+01   1.801366e+01   5.442873e-01   5.442873e-01  
158       1.803130e+01   1.801472e+01   5.466696e-01   5.466696e-01  
159       1.803242e+01   1.801568e+01   5.492760e-01   5.492760e-01  
160       1.803343e+01   1.801652e+01   5.521055e-01   5.521055e-01  
161       1.803435e+01   1.801725e+01   5.551548e-01   5.551548e-01  
162       1.803517e+01   1.801787e+01   5.584180e-01   5.584180e-01  
163       1.803593e+01   1.801841e+01   5.618866e-01   5.618866e-01  
164       1.803663e+01   1.801888e+01   5.655499e-01   5.655499e-01  
165       1.803727e+01   1.801928e+01   5.693943e-01   5.693943e-01  
166       1.803787e+01   1.801963e+01   5.734050e-01   5.734050e-01  
167       1.803850e+01   1.802000e+01   5.775686e-01   5.775686e-01  
168       1.803953e+01   1.802075e+01   5.818864e-01   5.818864e-01  
169       1.804451e+01   1.802543e+01   5.865263e-01   5.865263e-01  
170       1.804058e+01   1.802122e+01   5.908093e-01   5.908093e-01  
171       1.803823e+01   1.801857e+01   5.952762e-01   5.952762e-01  
172       1.804067e+01   1.802070e+01   6.000806e-01   6.000806e-01  
173       1.803940e+01   1.801912e+01   6.047748e-01   6.047748e-01  
174       1.804017e+01   1.801956e+01   6.095909e-01   6.095909e-01  
175       1.804014e+01   1.801920e+01   6.144571e-01   6.144571e-01  
176       1.803956e+01   1.801829e+01   6.192110e-01   6.192110e-01  
177       1.804014e+01   1.801853e+01   6.241618e-01   6.241618e-01  
178       1.803846e+01   1.801653e+01   6.288171e-01   6.288171e-01  
179       1.803967e+01   1.801739e+01   6.337985e-01   6.337985e-01  
180       1.803687e+01   1.801427e+01   6.383308e-01   6.383308e-01  
181       1.803813e+01   1.801517e+01   6.432753e-01   6.432752e-01  
182       1.803463e+01   1.801136e+01   6.476549e-01   6.476549e-01  
183       1.803546e+01   1.801184e+01   6.525103e-01   6.525103e-01  
184       1.803160e+01   1.800767e+01   6.567053e-01   6.567053e-01  
185       1.803170e+01   1.800742e+01   6.614347e-01   6.614347e-01  
186       1.802775e+01   1.800317e+01   6.654161e-01   6.654160e-01  
187       1.802700e+01   1.800208e+01   6.700013e-01   6.700013e-01  
188       1.802306e+01   1.799786e+01   6.737542e-01   6.737542e-01  
189       1.802157e+01   1.799603e+01   6.781908e-01   6.781908e-01  
190       1.801766e+01   1.799185e+01   6.817078e-01   6.817078e-01  
191       1.801570e+01   1.798956e+01   6.860006e-01   6.860006e-01  
192       1.801177e+01   1.798537e+01   6.892851e-01   6.892851e-01  
193       1.800967e+01   1.798295e+01   6.934522e-01   6.934522e-01  
194       1.800565e+01   1.797869e+01   6.965208e-01   6.965208e-01  
195       1.800372e+01   1.797644e+01   7.005899e-01   7.005899e-01  
196       1.799957e+01   1.797205e+01   7.034671e-01   7.034671e-01  
197       1.799802e+01   1.797018e+01   7.074706e-01   7.074706e-01  
198       1.799372e+01   1.796566e+01   7.101860e-01   7.101860e-01  
199       1.799267e+01   1.796430e+01   7.141552e-01   7.141552e-01  
200       1.798826e+01   1.795968e+01   7.167432e-01   7.167432e-01  
201       1.798774e+01   1.795884e+01   7.207120e-01   7.207120e-01  
202       1.798327e+01   1.795416e+01   7.232157e-01   7.232157e-01  
203       1.798317e+01   1.795373e+01   7.272314e-01   7.272314e-01  
204       1.797860e+01   1.794896e+01   7.297210e-01   7.297211e-01  
205       1.797877e+01   1.794879e+01   7.338797e-01   7.338797e-01  
206       1.797402e+01   1.794382e+01   7.364745e-01   7.364745e-01  
207       1.797433e+01   1.794377e+01   7.408690e-01   7.408690e-01  
208       1.796941e+01   1.793863e+01   7.433838e-01   7.433838e-01  
209       1.797013e+01   1.793901e+01   7.474185e-01   7.474185e-01  
210       1.796524e+01   1.793396e+01   7.493743e-01   7.493743e-01  
211       1.796634e+01   1.793471e+01   7.535556e-01   7.535556e-01  
212       1.796130e+01   1.792944e+01   7.561744e-01   7.561744e-01  
213       1.796330e+01   1.793109e+01   7.604076e-01   7.604077e-01  
214       1.795916e+01   1.792678e+01   7.622299e-01   7.622300e-01  
215       1.796213e+01   1.792937e+01   7.668271e-01   7.668271e-01  
216       1.795816e+01   1.792505e+01   7.707442e-01   7.707443e-01  
217       1.796651e+01   1.793292e+01   7.763891e-01   7.763892e-01  
218       1.795513e+01   1.792135e+01   7.785209e-01   7.785210e-01  
219       1.796895e+01   1.793462e+01   7.849617e-01   7.849618e-01  
220       1.797883e+01   1.794403e+01   7.906761e-01   7.906762e-01  
221       1.799381e+01   1.795851e+01   7.965830e-01   7.965831e-01  
222       1.799377e+01   1.795805e+01   8.013242e-01   8.013243e-01  
223       1.796113e+01   1.792474e+01   8.080160e-01   8.080161e-01  
224       1.797363e+01   1.793681e+01   8.130512e-01   8.130514e-01  
225       1.797280e+01   1.793522e+01   8.214181e-01   8.214183e-01  
226       1.798443e+01   1.794610e+01   8.297246e-01   8.297247e-01  
227       1.796691e+01   1.792793e+01   8.363672e-01   8.363674e-01  
228       1.799277e+01   1.795287e+01   8.467649e-01   8.467651e-01  
229       1.799071e+01   1.794988e+01   8.565888e-01   8.565890e-01  
230       1.800627e+01   1.796467e+01   8.650181e-01   8.650183e-01  
231       1.800810e+01   1.796523e+01   8.781252e-01   8.781256e-01  
232       1.797698e+01   1.793345e+01   8.840697e-01   8.840701e-01  
233       1.802304e+01   1.797798e+01   9.005833e-01   9.005839e-01  
234       1.800256e+01   1.795649e+01   9.100756e-01   9.100761e-01  
235       1.800958e+01   1.796219e+01   9.232932e-01   9.232944e-01  
236       1.800034e+01   1.795159e+01   9.360858e-01   9.360870e-01  
237       1.801984e+01   1.796953e+01   9.514785e-01   9.514812e-01  
238       1.802836e+01   1.797658e+01   9.654395e-01   9.654421e-01  
239       1.803359e+01   1.797992e+01   9.830752e-01   9.830795e-01  
240       1.803267e+01   1.797750e+01   9.966596e-01   9.966633e-01  
241       1.804127e+01   1.798383e+01   1.017098e+00   1.017105e+00  
242       1.803360e+01   1.797471e+01   1.029706e+00   1.029712e+00  
243       1.805770e+01   1.799649e+01   1.050432e+00   1.050441e+00  
244       1.804639e+01   1.798329e+01   1.066164e+00   1.066172e+00  
245       1.805933e+01   1.799380e+01   1.086919e+00   1.086931e+00  
246       1.805799e+01   1.799035e+01   1.104144e+00   1.104156e+00  
247       1.807144e+01   1.800128e+01   1.124917e+00   1.124932e+00  
248       1.806726e+01   1.799472e+01   1.143702e+00   1.143717e+00  
249       1.808058e+01   1.800534e+01   1.165086e+00   1.165104e+00  
