
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 6.600000e+01 * a0, G = 1.185679e+04, G * par = 2.371357e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par =  9.435331e+03, edd = 1.666667e+00
     Dipolar cutoffs Rcut = 4.418121e+00, Lcut = 1.573623e+02

QF = 1, QDEPL = 0: h2 = 1.511631e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 5.482145e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.458786e+00, DY = 6.903314e-02, DZ = 6.903314e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 2.382787e-03

Initial state: Gaussian
               SX = 1.573623e+01, SY = 4.418121e-01, SZ = 4.418121e-01
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-06, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50000000000e+05   0.000000e+00   -1.159188e+00  1.574863e+01  
1         1.50000000000e+05   0.000000e+00   -9.346320e+00  1.593451e+01  
2         1.50000000000e+05   0.000000e+00   -9.331253e+00  1.583858e+01  
3         1.50000000000e+05   0.000000e+00   -9.324713e+00  1.579552e+01  
4         1.50000000000e+05   0.000000e+00   -9.320851e+00  1.577244e+01  
5         1.50000000000e+05   0.000000e+00   -9.318345e+00  1.575837e+01  
6         1.50000000000e+05   0.000000e+00   -9.316612e+00  1.574900e+01  
7         1.50000000000e+05   0.000000e+00   -9.315357e+00  1.574238e+01  
8         1.50000000000e+05   0.000000e+00   -9.314418e+00  1.573751e+01  
9         1.50000000000e+05   0.000000e+00   -9.313696e+00  1.573381e+01  
10        1.50000000000e+05   0.000000e+00   -9.313130e+00  1.573094e+01  
11        1.50000000000e+05   0.000000e+00   -9.312680e+00  1.572867e+01  
12        1.50000000000e+05   0.000000e+00   -9.312318e+00  1.572685e+01  
13        1.50000000000e+05   0.000000e+00   -9.312023e+00  1.572538e+01  
14        1.50000000000e+05   0.000000e+00   -9.311782e+00  1.572418e+01  
15        1.50000000000e+05   0.000000e+00   -9.311583e+00  1.572320e+01  
16        1.50000000000e+05   0.000000e+00   -9.311417e+00  1.572238e+01  
17        1.50000000000e+05   0.000000e+00   -9.311279e+00  1.572170e+01  
18        1.50000000000e+05   0.000000e+00   -9.311164e+00  1.572113e+01  
19        1.50000000000e+05   0.000000e+00   -9.311067e+00  1.572065e+01  
20        1.50000000000e+05   0.000000e+00   -9.310986e+00  1.572025e+01  
21        1.50000000000e+05   0.000000e+00   -9.310917e+00  1.571992e+01  
22        1.50000000000e+05   0.000000e+00   -9.310860e+00  1.571963e+01  
23        1.50000000000e+05   0.000000e+00   -9.310810e+00  1.571939e+01  
24        1.50000000000e+05   0.000000e+00   -9.310769e+00  1.571919e+01  
25        1.50000000000e+05   0.000000e+00   -9.310734e+00  1.571901e+01  
26        1.50000000000e+05   0.000000e+00   -9.310704e+00  1.571887e+01  
27        1.50000000000e+05   0.000000e+00   -9.310679e+00  1.571874e+01  
28        1.50000000000e+05   0.000000e+00   -9.310657e+00  1.571864e+01  
29        1.50000000000e+05   0.000000e+00   -9.310639e+00  1.571855e+01  
30        1.50000000000e+05   0.000000e+00   -9.310623e+00  1.571847e+01  
31        1.50000000000e+05   0.000000e+00   -9.310610e+00  1.571841e+01  
32        1.50000000000e+05   0.000000e+00   -9.310598e+00  1.571835e+01  
33        1.50000000000e+05   0.000000e+00   -9.310589e+00  1.571830e+01  
34        1.50000000000e+05   0.000000e+00   -9.310580e+00  1.571826e+01  
-------------------------------------------------------------------

Initialization/allocation wall-clock time: 2.886 seconds
Calculation (iterations) wall-clock time : 247.903 seconds

