
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.800000e+01 * a0, G = 1.401257e+04, G * par = 2.802513e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.411538e+00
     Dipolar cutoff Rcut = 6.520532e+00, Lcut = 2.093893e+02

QF = 1: h2 = 1.761005e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.206189e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.271708e+00, DY = 1.018833e-01, DZ = 1.018833e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 5.190105e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
72        2.101115e+01   2.099074e+01   6.547243e-01   6.547243e-01  
73        2.101150e+01   2.099110e+01   6.545908e-01   6.545908e-01  
74        2.101186e+01   2.099147e+01   6.544565e-01   6.544565e-01  
75        2.101223e+01   2.099184e+01   6.543220e-01   6.543220e-01  
76        2.101260e+01   2.099222e+01   6.541880e-01   6.541880e-01  
77        2.101297e+01   2.099260e+01   6.540552e-01   6.540552e-01  
78        2.101335e+01   2.099299e+01   6.539242e-01   6.539242e-01  
79        2.101374e+01   2.099338e+01   6.537956e-01   6.537956e-01  
80        2.101412e+01   2.099378e+01   6.536700e-01   6.536700e-01  
81        2.101452e+01   2.099418e+01   6.535480e-01   6.535480e-01  
82        2.101492e+01   2.099459e+01   6.534301e-01   6.534301e-01  
83        2.101532e+01   2.099500e+01   6.533168e-01   6.533168e-01  
84        2.101574e+01   2.099542e+01   6.532087e-01   6.532087e-01  
85        2.101615e+01   2.099585e+01   6.531061e-01   6.531061e-01  
86        2.101657e+01   2.099627e+01   6.530096e-01   6.530096e-01  
87        2.101700e+01   2.099671e+01   6.529194e-01   6.529194e-01  
88        2.101743e+01   2.099714e+01   6.528360e-01   6.528360e-01  
89        2.101787e+01   2.099759e+01   6.527597e-01   6.527597e-01  
90        2.101831e+01   2.099803e+01   6.526907e-01   6.526907e-01  
91        2.101876e+01   2.099849e+01   6.526293e-01   6.526293e-01  
92        2.101921e+01   2.099894e+01   6.525756e-01   6.525756e-01  
93        2.101967e+01   2.099941e+01   6.525298e-01   6.525298e-01  
94        2.102014e+01   2.099988e+01   6.524920e-01   6.524920e-01  
95        2.102061e+01   2.100035e+01   6.524622e-01   6.524622e-01  
96        2.102109e+01   2.100083e+01   6.524405e-01   6.524405e-01  
97        2.102157e+01   2.100131e+01   6.524269e-01   6.524269e-01  
98        2.102205e+01   2.100180e+01   6.524213e-01   6.524213e-01  
99        2.102255e+01   2.100229e+01   6.524237e-01   6.524237e-01  
100       2.102305e+01   2.100279e+01   6.524340e-01   6.524340e-01  
101       2.102355e+01   2.100329e+01   6.524520e-01   6.524520e-01  
102       2.102406e+01   2.100380e+01   6.524774e-01   6.524774e-01  
103       2.102457e+01   2.100431e+01   6.525102e-01   6.525102e-01  
104       2.102509e+01   2.100483e+01   6.525500e-01   6.525500e-01  
105       2.102562e+01   2.100535e+01   6.525966e-01   6.525966e-01  
106       2.102614e+01   2.100588e+01   6.526496e-01   6.526496e-01  
107       2.102668e+01   2.100641e+01   6.527085e-01   6.527085e-01  
108       2.102722e+01   2.100695e+01   6.527731e-01   6.527731e-01  
109       2.102777e+01   2.100749e+01   6.528428e-01   6.528428e-01  
110       2.102832e+01   2.100803e+01   6.529174e-01   6.529174e-01  
111       2.102887e+01   2.100858e+01   6.529964e-01   6.529964e-01  
112       2.102943e+01   2.100914e+01   6.530793e-01   6.530793e-01  
113       2.103000e+01   2.100970e+01   6.531657e-01   6.531657e-01  
114       2.103057e+01   2.101027e+01   6.532551e-01   6.532551e-01  
115       2.103114e+01   2.101084e+01   6.533470e-01   6.533470e-01  
116       2.103172e+01   2.101141e+01   6.534410e-01   6.534410e-01  
117       2.103231e+01   2.101199e+01   6.535366e-01   6.535366e-01  
118       2.103290e+01   2.101257e+01   6.536333e-01   6.536333e-01  
