
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 6.300000e+01 * a0, G = 1.131784e+04, G * par = 2.263568e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.747619e+00
     Dipolar cutoffs Rcut = 4.070366e+00, Lcut = 1.479451e+02

QF = 1, QDEPL = 0: h2 = 1.456453e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 5.933481e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.311642e+00, DY = 6.359947e-02, DZ = 6.359947e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 10000 (NSNAP = 5000)
                     DT = 2.022446e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50084721072e+05   0.000000e+00   -1.249268e+01  1.490950e+01  
1         1.50084712744e+05   0.000000e+00   -1.250331e+01  1.490949e+01  
2         1.50084714152e+05   0.000000e+00   -1.251291e+01  1.490949e+01  
3         1.50084719830e+05   0.000000e+00   -1.251864e+01  1.490948e+01  
4         1.50084717378e+05   0.000000e+00   -1.251958e+01  1.490947e+01  
5         1.50084724323e+05   0.000000e+00   -1.251599e+01  1.490946e+01  
6         1.50084721638e+05   0.000000e+00   -1.250863e+01  1.490945e+01  
7         1.50084725853e+05   0.000000e+00   -1.249841e+01  1.490943e+01  
8         1.50084722206e+05   0.000000e+00   -1.248606e+01  1.490942e+01  
9         1.50084723404e+05   0.000000e+00   -1.247223e+01  1.490940e+01  
10        1.50084716604e+05   0.000000e+00   -1.245764e+01  1.490939e+01  
11        1.50084716475e+05   0.000000e+00   -1.244280e+01  1.490937e+01  
12        1.50084711005e+05   0.000000e+00   -1.242794e+01  1.490936e+01  
13        1.50084704885e+05   0.000000e+00   -1.241325e+01  1.490934e+01  
14        1.50084702177e+05   0.000000e+00   -1.239902e+01  1.490932e+01  
15        1.50084701767e+05   0.000000e+00   -1.238534e+01  1.490931e+01  
16        1.50084687338e+05   0.000000e+00   -1.237195e+01  1.490929e+01  
17        1.50084682752e+05   0.000000e+00   -1.235853e+01  1.490928e+01  
18        1.50084679237e+05   0.000000e+00   -1.234504e+01  1.490927e+01  
19        1.50084672632e+05   0.000000e+00   -1.233189e+01  1.490925e+01  
20        1.50084666103e+05   0.000000e+00   -1.231988e+01  1.490924e+01  
21        1.50084661144e+05   0.000000e+00   -1.230992e+01  1.490924e+01  
22        1.50084650671e+05   0.000000e+00   -1.230279e+01  1.490923e+01  
23        1.50084646100e+05   0.000000e+00   -1.229902e+01  1.490922e+01  
24        1.50084634330e+05   0.000000e+00   -1.229876e+01  1.490922e+01  
25        1.50084628357e+05   0.000000e+00   -1.230190e+01  1.490922e+01  
26        1.50084617220e+05   0.000000e+00   -1.230806e+01  1.490922e+01  
27        1.50084609993e+05   0.000000e+00   -1.231677e+01  1.490922e+01  
28        1.50084599812e+05   0.000000e+00   -1.232747e+01  1.490922e+01  
29        1.50084591998e+05   0.000000e+00   -1.233965e+01  1.490923e+01  
30        1.50084582919e+05   0.000000e+00   -1.235283e+01  1.490923e+01  
31        1.50084575257e+05   0.000000e+00   -1.236659e+01  1.490924e+01  
32        1.50084567060e+05   0.000000e+00   -1.238058e+01  1.490925e+01  
33        1.50084559473e+05   0.000000e+00   -1.239454e+01  1.490926e+01  
34        1.50084551243e+05   0.000000e+00   -1.240826e+01  1.490926e+01  
35        1.50084543772e+05   0.000000e+00   -1.242159e+01  1.490927e+01  
36        1.50084535932e+05   0.000000e+00   -1.243440e+01  1.490928e+01  
37        1.50084529457e+05   0.000000e+00   -1.244659e+01  1.490929e+01  
38        1.50084522039e+05   0.000000e+00   -1.245809e+01  1.490930e+01  
39        1.50084516418e+05   0.000000e+00   -1.246884e+01  1.490931e+01  
40        1.50084509857e+05   0.000000e+00   -1.247876e+01  1.490932e+01  
41        1.50084505479e+05   0.000000e+00   -1.248782e+01  1.490933e+01  
42        1.50084500068e+05   0.000000e+00   -1.249597e+01  1.490934e+01  
43        1.50084497229e+05   0.000000e+00   -1.250318e+01  1.490934e+01  
44        1.50084493214e+05   0.000000e+00   -1.250942e+01  1.490935e+01  
45        1.50084491059e+05   0.000000e+00   -1.251467e+01  1.490935e+01  
46        1.50084487624e+05   0.000000e+00   -1.251890e+01  1.490936e+01  
47        1.50084486291e+05   0.000000e+00   -1.252211e+01  1.490936e+01  
48        1.50084484680e+05   0.000000e+00   -1.252430e+01  1.490936e+01  
49        1.50084485398e+05   0.000000e+00   -1.252547e+01  1.490935e+01  
50        1.50084485905e+05   0.000000e+00   -1.252561e+01  1.490935e+01  
51        1.50084488214e+05   0.000000e+00   -1.252475e+01  1.490934e+01  
52        1.50084490462e+05   0.000000e+00   -1.252291e+01  1.490934e+01  
53        1.50084494035e+05   0.000000e+00   -1.252011e+01  1.490933e+01  
54        1.50084497649e+05   0.000000e+00   -1.251639e+01  1.490932e+01  
55        1.50084502737e+05   0.000000e+00   -1.251179e+01  1.490931e+01  
56        1.50084508050e+05   0.000000e+00   -1.250638e+01  1.490930e+01  
57        1.50084514656e+05   0.000000e+00   -1.250021e+01  1.490928e+01  
58        1.50084521160e+05   0.000000e+00   -1.249335e+01  1.490927e+01  
59        1.50084529566e+05   0.000000e+00   -1.248587e+01  1.490925e+01  
60        1.50084538807e+05   0.000000e+00   -1.247787e+01  1.490923e+01  
61        1.50084549914e+05   0.000000e+00   -1.246945e+01  1.490922e+01  
62        1.50084560525e+05   0.000000e+00   -1.246068e+01  1.490920e+01  
63        1.50084573468e+05   0.000000e+00   -1.245166e+01  1.490918e+01  
64        1.50084587713e+05   0.000000e+00   -1.244247e+01  1.490916e+01  
65        1.50084605037e+05   0.000000e+00   -1.243321e+01  1.490914e+01  
66        1.50084623199e+05   0.000000e+00   -1.242399e+01  1.490912e+01  
67        1.50084645005e+05   0.000000e+00   -1.241495e+01  1.490910e+01  
68        1.50084668243e+05   0.000000e+00   -1.240617e+01  1.490908e+01  
69        1.50084696661e+05   0.000000e+00   -1.239774e+01  1.490906e+01  
70        1.50084727433e+05   0.000000e+00   -1.238968e+01  1.490904e+01  
71        1.50084765726e+05   0.000000e+00   -1.238203e+01  1.490902e+01  
72        1.50084810774e+05   0.000000e+00   -1.237481e+01  1.490900e+01  
