
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.700000e+01 * a0, G = 1.383292e+04, G * par = 2.766584e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.429870e+00
     Dipolar cutoffs Rcut = 6.281637e+00, Lcut = 2.038374e+02

QF = 1, QDEPL = 0: h2 = 1.739320e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.290593e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.184959e+00, DY = 9.815058e-02, DZ = 9.815058e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 10000 (NSNAP = 5000)
                     DT = 4.816768e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50200955162e+05   0.000000e+00   -2.818127e+00  2.045265e+01  
1         1.50200955010e+05   0.000000e+00   -2.819304e+00  2.045264e+01  
2         1.50200954720e+05   0.000000e+00   -2.820500e+00  2.045263e+01  
3         1.50200954265e+05   0.000000e+00   -2.821510e+00  2.045262e+01  
4         1.50200953908e+05   0.000000e+00   -2.822184e+00  2.045261e+01  
5         1.50200953219e+05   0.000000e+00   -2.822442e+00  2.045260e+01  
6         1.50200952588e+05   0.000000e+00   -2.822256e+00  2.045258e+01  
7         1.50200951641e+05   0.000000e+00   -2.821630e+00  2.045257e+01  
8         1.50200950785e+05   0.000000e+00   -2.820593e+00  2.045255e+01  
9         1.50200949743e+05   0.000000e+00   -2.819189e+00  2.045253e+01  
10        1.50200948831e+05   0.000000e+00   -2.817474e+00  2.045251e+01  
11        1.50200947879e+05   0.000000e+00   -2.815502e+00  2.045249e+01  
12        1.50200947163e+05   0.000000e+00   -2.813316e+00  2.045247e+01  
13        1.50200946330e+05   0.000000e+00   -2.810946e+00  2.045245e+01  
14        1.50200945704e+05   0.000000e+00   -2.808411e+00  2.045243e+01  
15        1.50200945293e+05   0.000000e+00   -2.805717e+00  2.045240e+01  
16        1.50200944921e+05   0.000000e+00   -2.802873e+00  2.045238e+01  
17        1.50200944479e+05   0.000000e+00   -2.799903e+00  2.045236e+01  
18        1.50200944245e+05   0.000000e+00   -2.796852e+00  2.045234e+01  
19        1.50200943926e+05   0.000000e+00   -2.793791e+00  2.045232e+01  
20        1.50200943692e+05   0.000000e+00   -2.790803e+00  2.045230e+01  
21        1.50200943424e+05   0.000000e+00   -2.787977e+00  2.045228e+01  
22        1.50200943130e+05   0.000000e+00   -2.785394e+00  2.045226e+01  
23        1.50200942777e+05   0.000000e+00   -2.783118e+00  2.045224e+01  
24        1.50200942368e+05   0.000000e+00   -2.781197e+00  2.045222e+01  
25        1.50200941829e+05   0.000000e+00   -2.779654e+00  2.045221e+01  
26        1.50200941227e+05   0.000000e+00   -2.778495e+00  2.045219e+01  
27        1.50200940434e+05   0.000000e+00   -2.777712e+00  2.045218e+01  
28        1.50200939568e+05   0.000000e+00   -2.777283e+00  2.045217e+01  
29        1.50200938471e+05   0.000000e+00   -2.777178e+00  2.045216e+01  
30        1.50200937290e+05   0.000000e+00   -2.777365e+00  2.045215e+01  
31        1.50200935858e+05   0.000000e+00   -2.777807e+00  2.045215e+01  
32        1.50200934327e+05   0.000000e+00   -2.778470e+00  2.045215e+01  
33        1.50200932523e+05   0.000000e+00   -2.779320e+00  2.045214e+01  
34        1.50200930577e+05   0.000000e+00   -2.780328e+00  2.045214e+01  
35        1.50200928330e+05   0.000000e+00   -2.781465e+00  2.045215e+01  
36        1.50200925920e+05   0.000000e+00   -2.782708e+00  2.045215e+01  
37        1.50200923213e+05   0.000000e+00   -2.784037e+00  2.045215e+01  
38        1.50200920325e+05   0.000000e+00   -2.785432e+00  2.045216e+01  
39        1.50200917125e+05   0.000000e+00   -2.786877e+00  2.045217e+01  
40        1.50200913734e+05   0.000000e+00   -2.788360e+00  2.045218e+01  
41        1.50200910040e+05   0.000000e+00   -2.789866e+00  2.045219e+01  
