
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 9.000000e+01 * a0, G = 1.616835e+04, G * par = 3.233669e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.223333e+00
     Dipolar cutoffs Rcut = 1.194221e+01, Lcut = 3.145626e+02

QF = 1, QDEPL = 0: h2 = 2.037647e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.403199e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.915041e+00, DY = 1.865970e-01, DZ = 1.865970e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 2500 (NSNAP = 1250)
                     DT = 1.740923e-02

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50895884908e+05   0.000000e+00   -2.643660e-01  3.151191e+01  
1         1.50895884542e+05   0.000000e+00   -2.644287e-01  3.151191e+01  
2         1.50895884024e+05   0.000000e+00   -2.645174e-01  3.151191e+01  
3         1.50895883356e+05   0.000000e+00   -2.646240e-01  3.151193e+01  
4         1.50895882542e+05   0.000000e+00   -2.647407e-01  3.151196e+01  
5         1.50895881583e+05   0.000000e+00   -2.648602e-01  3.151200e+01  
6         1.50895880484e+05   0.000000e+00   -2.649766e-01  3.151205e+01  
7         1.50895879246e+05   0.000000e+00   -2.650853e-01  3.151211e+01  
8         1.50895877872e+05   0.000000e+00   -2.651828e-01  3.151218e+01  
9         1.50895876365e+05   0.000000e+00   -2.652664e-01  3.151226e+01  
10        1.50895874727e+05   0.000000e+00   -2.653343e-01  3.151235e+01  
11        1.50895872961e+05   0.000000e+00   -2.653852e-01  3.151246e+01  
12        1.50895871069e+05   0.000000e+00   -2.654188e-01  3.151257e+01  
13        1.50895869054e+05   0.000000e+00   -2.654358e-01  3.151270e+01  
14        1.50895866917e+05   0.000000e+00   -2.654381e-01  3.151283e+01  
15        1.50895864662e+05   0.000000e+00   -2.654285e-01  3.151298e+01  
16        1.50895862292e+05   0.000000e+00   -2.654105e-01  3.151314e+01  
17        1.50895859809e+05   0.000000e+00   -2.653879e-01  3.151330e+01  
18        1.50895857216e+05   0.000000e+00   -2.653644e-01  3.151348e+01  
