
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 6.600000e+01 * a0, G = 1.185679e+04, G * par = 2.371357e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par = 9.435331e+03, edd = 1.666667e+00
     Dipolar cutoff Rcut = 4.418121e+00, Lcut = 1.573623e+02

QF = 1: h2 = 1.511631e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 5.482145e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.458786e+00, DY = 6.903314e-02, DZ = 6.903314e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 2.382787e-03

Initial state: Gaussian
               SX = 1.573623e+01, SY = 4.418121e-01, SZ = 4.418121e-01
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-06, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         1.574863e+01   1.573623e+01   4.418121e-01   4.418121e-01  
1         1.593451e+01   1.592236e+01   4.399107e-01   4.399107e-01  
2         1.583858e+01   1.582631e+01   4.408936e-01   4.408936e-01  
3         1.579552e+01   1.578317e+01   4.414136e-01   4.414136e-01  
4         1.577244e+01   1.576007e+01   4.416911e-01   4.416911e-01  
5         1.575837e+01   1.574597e+01   4.418594e-01   4.418594e-01  
6         1.574900e+01   1.573659e+01   4.419709e-01   4.419709e-01  
7         1.574238e+01   1.572996e+01   4.420495e-01   4.420495e-01  
8         1.573751e+01   1.572508e+01   4.421072e-01   4.421072e-01  
9         1.573381e+01   1.572138e+01   4.421509e-01   4.421509e-01  
10        1.573094e+01   1.571850e+01   4.421848e-01   4.421848e-01  
11        1.572867e+01   1.571623e+01   4.422116e-01   4.422116e-01  
12        1.572685e+01   1.571441e+01   4.422330e-01   4.422330e-01  
13        1.572538e+01   1.571294e+01   4.422503e-01   4.422503e-01  
14        1.572418e+01   1.571174e+01   4.422644e-01   4.422644e-01  
15        1.572320e+01   1.571075e+01   4.422761e-01   4.422761e-01  
16        1.572238e+01   1.570993e+01   4.422857e-01   4.422857e-01  
17        1.572170e+01   1.570925e+01   4.422937e-01   4.422937e-01  
18        1.572113e+01   1.570868e+01   4.423004e-01   4.423004e-01  
19        1.572065e+01   1.570820e+01   4.423060e-01   4.423060e-01  
20        1.572025e+01   1.570780e+01   4.423107e-01   4.423107e-01  
21        1.571992e+01   1.570747e+01   4.423147e-01   4.423147e-01  
22        1.571963e+01   1.570718e+01   4.423180e-01   4.423180e-01  
23        1.571939e+01   1.570694e+01   4.423208e-01   4.423208e-01  
24        1.571919e+01   1.570674e+01   4.423232e-01   4.423232e-01  
25        1.571901e+01   1.570656e+01   4.423252e-01   4.423252e-01  
26        1.571887e+01   1.570642e+01   4.423270e-01   4.423270e-01  
27        1.571874e+01   1.570629e+01   4.423284e-01   4.423284e-01  
28        1.571864e+01   1.570619e+01   4.423297e-01   4.423297e-01  
29        1.571855e+01   1.570610e+01   4.423307e-01   4.423307e-01  
30        1.571847e+01   1.570602e+01   4.423316e-01   4.423316e-01  
31        1.571841e+01   1.570595e+01   4.423324e-01   4.423324e-01  
32        1.571835e+01   1.570590e+01   4.423330e-01   4.423330e-01  
33        1.571830e+01   1.570585e+01   4.423336e-01   4.423336e-01  
34        1.571826e+01   1.570581e+01   4.423341e-01   4.423341e-01  
-------------------------------------------------------------------

