-------------------------------------------------------------------------------------------------------------------------------------------------------------
Snap      mu             Kin            Pot            Contact        DDI            Dmu(Contact)   Dmu(DDI)       Dmu(grad)      Rot            Lx  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0         -9.052139e-01  3.350615e-01   0.000000e+00   1.518268e+01   -1.978057e+01  3.357613e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
1         -9.054288e-01  3.353872e-01   0.000000e+00   1.518656e+01   -1.978565e+01  3.358272e+00   0.000000e+00   0.000000e+00   -0.000000e+00  4.396936e-20  
2         -9.056496e-01  3.357630e-01   0.000000e+00   1.519117e+01   -1.979169e+01  3.359103e+00   0.000000e+00   0.000000e+00   0.000000e+00   -2.297769e-20 
3         -9.058463e-01  3.361707e-01   0.000000e+00   1.519657e+01   -1.979875e+01  3.360166e+00   0.000000e+00   0.000000e+00   -0.000000e+00  2.658798e-19  
4         -9.059927e-01  3.365922e-01   0.000000e+00   1.520276e+01   -1.980685e+01  3.361512e+00   0.000000e+00   0.000000e+00   0.000000e+00   -6.889349e-19 
5         -9.060689e-01  3.370127e-01   0.000000e+00   1.520975e+01   -1.981601e+01  3.363177e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.271444e-18  
6         -9.060614e-01  3.374212e-01   0.000000e+00   1.521754e+01   -1.982621e+01  3.365184e+00   0.000000e+00   0.000000e+00   0.000000e+00   -9.901923e-19 
7         -9.059632e-01  3.378107e-01   0.000000e+00   1.522611e+01   -1.983743e+01  3.367544e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.098736e-18  
8         -9.057725e-01  3.381776e-01   0.000000e+00   1.523542e+01   -1.984963e+01  3.370253e+00   0.000000e+00   0.000000e+00   0.000000e+00   -2.039005e-19 
9         -9.054919e-01  3.385208e-01   0.000000e+00   1.524544e+01   -1.986275e+01  3.373298e+00   0.000000e+00   0.000000e+00   -0.000000e+00  2.339122e-18  
10        -9.051255e-01  3.388406e-01   0.000000e+00   1.525612e+01   -1.987675e+01  3.376660e+00   0.000000e+00   0.000000e+00   0.000000e+00   -2.407501e-18 
11        -9.046779e-01  3.391380e-01   0.000000e+00   1.526742e+01   -1.989155e+01  3.380320e+00   0.000000e+00   0.000000e+00   -0.000000e+00  4.670187e-19  
12        -9.041533e-01  3.394138e-01   0.000000e+00   1.527929e+01   -1.990712e+01  3.384262e+00   0.000000e+00   0.000000e+00   -0.000000e+00  8.598091e-19  
13        -9.035558e-01  3.396687e-01   0.000000e+00   1.529170e+01   -1.992340e+01  3.388468e+00   0.000000e+00   0.000000e+00   -0.000000e+00  7.854387e-19  
14        -9.028910e-01  3.399040e-01   0.000000e+00   1.530463e+01   -1.994034e+01  3.392921e+00   0.000000e+00   0.000000e+00   -0.000000e+00  1.361204e-19  
15        -9.021670e-01  3.401223e-01   0.000000e+00   1.531802e+01   -1.995790e+01  3.397595e+00   0.000000e+00   0.000000e+00   -0.000000e+00  4.576712e-19  
