
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 6.900000e+01 * a0, G = 1.239573e+04, G * par = 2.479146e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.595652e+00
     Dipolar cutoff Rcut = 4.825015e+00, Lcut = 1.677432e+02

QF = 1: h2 = 1.573046e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 5.104853e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.620988e+00, DY = 7.539086e-02, DZ = 7.539086e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 2500 (NSNAP = 1250)
                     DT = 2.841891e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         1.676105e+01   1.674713e+01   4.829765e-01   4.829765e-01  
1         1.676105e+01   1.674713e+01   4.828754e-01   4.828754e-01  
2         1.676104e+01   1.674713e+01   4.827567e-01   4.827567e-01  
3         1.676103e+01   1.674713e+01   4.826208e-01   4.826208e-01  
4         1.676102e+01   1.674713e+01   4.824681e-01   4.824681e-01  
5         1.676101e+01   1.674712e+01   4.822995e-01   4.822995e-01  
6         1.676100e+01   1.674712e+01   4.821162e-01   4.821162e-01  
7         1.676098e+01   1.674712e+01   4.819197e-01   4.819197e-01  
8         1.676097e+01   1.674712e+01   4.817115e-01   4.817115e-01  
9         1.676095e+01   1.674711e+01   4.814936e-01   4.814936e-01  
10        1.676093e+01   1.674711e+01   4.812681e-01   4.812681e-01  
11        1.676092e+01   1.674710e+01   4.810372e-01   4.810372e-01  
12        1.676090e+01   1.674710e+01   4.808030e-01   4.808030e-01  
13        1.676088e+01   1.674710e+01   4.805680e-01   4.805680e-01  
14        1.676086e+01   1.674709e+01   4.803345e-01   4.803345e-01  
15        1.676084e+01   1.674709e+01   4.801046e-01   4.801046e-01  
16        1.676083e+01   1.674708e+01   4.798808e-01   4.798808e-01  
17        1.676081e+01   1.674708e+01   4.796654e-01   4.796654e-01  
18        1.676079e+01   1.674707e+01   4.794605e-01   4.794605e-01  
19        1.676078e+01   1.674707e+01   4.792687e-01   4.792687e-01  
20        1.676077e+01   1.674707e+01   4.790921e-01   4.790921e-01  
21        1.676075e+01   1.674706e+01   4.789330e-01   4.789330e-01  
22        1.676074e+01   1.674706e+01   4.787934e-01   4.787934e-01  
23        1.676073e+01   1.674706e+01   4.786752e-01   4.786752e-01  
24        1.676073e+01   1.674706e+01   4.785799e-01   4.785799e-01  
25        1.676072e+01   1.674705e+01   4.785088e-01   4.785088e-01  
26        1.676072e+01   1.674705e+01   4.784627e-01   4.784627e-01  
27        1.676072e+01   1.674705e+01   4.784423e-01   4.784423e-01  
28        1.676072e+01   1.674705e+01   4.784476e-01   4.784476e-01  
29        1.676072e+01   1.674705e+01   4.784784e-01   4.784784e-01  
30        1.676072e+01   1.674705e+01   4.785342e-01   4.785342e-01  
31        1.676073e+01   1.674706e+01   4.786142e-01   4.786142e-01  
