-------------------------------------------------------------------------------------------------------------------------------------------------------------
Snap      mu             Kin            Pot            Contact        DDI            Dmu(Contact)   Dmu(DDI)       Dmu(grad)      Rot            Lx  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0         -5.459945e-01  3.532408e-01   0.000000e+00   1.912083e+01   -2.515717e+01  5.137102e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
1         -1.057612e+00  3.748828e-01   0.000000e+00   1.684048e+01   -2.220869e+01  3.935713e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
2         -1.054539e+00  3.762204e-01   0.000000e+00   1.695147e+01   -2.235017e+01  3.967941e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
3         -1.052300e+00  3.755748e-01   0.000000e+00   1.698410e+01   -2.238956e+01  3.977585e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
4         -1.050897e+00  3.750347e-01   0.000000e+00   1.700055e+01   -2.240896e+01  3.982479e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
5         -1.050051e+00  3.746934e-01   0.000000e+00   1.700979e+01   -2.241977e+01  3.985237e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
6         -1.049548e+00  3.744892e-01   0.000000e+00   1.701509e+01   -2.242595e+01  3.986824e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
7         -1.049251e+00  3.743690e-01   0.000000e+00   1.701817e+01   -2.242954e+01  3.987747e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
8         -1.049075e+00  3.742983e-01   0.000000e+00   1.701998e+01   -2.243165e+01  3.988291e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
9         -1.048970e+00  3.742565e-01   0.000000e+00   1.702106e+01   -2.243291e+01  3.988616e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
10        -1.048907e+00  3.742316e-01   0.000000e+00   1.702172e+01   -2.243367e+01  3.988813e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
11        -1.048868e+00  3.742166e-01   0.000000e+00   1.702212e+01   -2.243413e+01  3.988932e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
12        -1.048845e+00  3.742074e-01   0.000000e+00   1.702236e+01   -2.243442e+01  3.989006e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
13        -1.048830e+00  3.742018e-01   0.000000e+00   1.702251e+01   -2.243460e+01  3.989051e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
14        -1.048821e+00  3.741984e-01   0.000000e+00   1.702261e+01   -2.243471e+01  3.989080e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
15        -1.048816e+00  3.741962e-01   0.000000e+00   1.702267e+01   -2.243477e+01  3.989097e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
16        -1.048812e+00  3.741949e-01   0.000000e+00   1.702270e+01   -2.243482e+01  3.989108e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
17        -1.048810e+00  3.741941e-01   0.000000e+00   1.702272e+01   -2.243484e+01  3.989115e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
18        -1.048809e+00  3.741936e-01   0.000000e+00   1.702274e+01   -2.243486e+01  3.989119e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
19        -1.048808e+00  3.741932e-01   0.000000e+00   1.702275e+01   -2.243487e+01  3.989122e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
-------------------------------------------------------------------------------------------------------------------------------------------------------------

