
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.300000e+01 * a0, G = 1.491081e+04, G * par = 2.982162e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.326506e+00
     Dipolar cutoff Rcut = 8.035941e+00, Lcut = 2.422133e+02

QF = 1: h2 = 1.872535e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.829123e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.784583e+00, DY = 1.255616e-01, DZ = 1.255616e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 7.882855e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         2.425152e+01   2.422482e+01   8.043725e-01   8.043725e-01  
1         2.425151e+01   2.422482e+01   8.042310e-01   8.042310e-01  
2         2.425149e+01   2.422482e+01   8.040700e-01   8.040700e-01  
3         2.425148e+01   2.422482e+01   8.038899e-01   8.038899e-01  
4         2.425147e+01   2.422482e+01   8.036910e-01   8.036910e-01  
5         2.425145e+01   2.422482e+01   8.034738e-01   8.034738e-01  
6         2.425143e+01   2.422481e+01   8.032390e-01   8.032390e-01  
7         2.425141e+01   2.422481e+01   8.029872e-01   8.029872e-01  
8         2.425139e+01   2.422481e+01   8.027193e-01   8.027193e-01  
9         2.425137e+01   2.422481e+01   8.024365e-01   8.024365e-01  
10        2.425135e+01   2.422480e+01   8.021399e-01   8.021399e-01  
11        2.425132e+01   2.422480e+01   8.018307e-01   8.018307e-01  
12        2.425130e+01   2.422479e+01   8.015104e-01   8.015104e-01  
13        2.425127e+01   2.422479e+01   8.011805e-01   8.011805e-01  
14        2.425125e+01   2.422479e+01   8.008425e-01   8.008425e-01  
15        2.425122e+01   2.422478e+01   8.004982e-01   8.004982e-01  
16        2.425119e+01   2.422478e+01   8.001493e-01   8.001493e-01  
17        2.425117e+01   2.422477e+01   7.997978e-01   7.997978e-01  
18        2.425114e+01   2.422477e+01   7.994454e-01   7.994454e-01  
19        2.425111e+01   2.422477e+01   7.990941e-01   7.990941e-01  
20        2.425108e+01   2.422476e+01   7.987459e-01   7.987459e-01  
21        2.425106e+01   2.422476e+01   7.984027e-01   7.984027e-01  
22        2.425103e+01   2.422475e+01   7.980663e-01   7.980663e-01  
23        2.425101e+01   2.422475e+01   7.977385e-01   7.977385e-01  
24        2.425098e+01   2.422475e+01   7.974211e-01   7.974211e-01  
25        2.425096e+01   2.422474e+01   7.971157e-01   7.971157e-01  
26        2.425094e+01   2.422474e+01   7.968237e-01   7.968237e-01  
27        2.425092e+01   2.422474e+01   7.965465e-01   7.965465e-01  
28        2.425090e+01   2.422474e+01   7.962853e-01   7.962853e-01  
29        2.425088e+01   2.422474e+01   7.960412e-01   7.960412e-01  
30        2.425087e+01   2.422474e+01   7.958151e-01   7.958151e-01  
31        2.425085e+01   2.422474e+01   7.956079e-01   7.956079e-01  
32        2.425084e+01   2.422474e+01   7.954201e-01   7.954201e-01  
33        2.425083e+01   2.422474e+01   7.952522e-01   7.952522e-01  
34        2.425082e+01   2.422474e+01   7.951046e-01   7.951046e-01  
35        2.425082e+01   2.422474e+01   7.949777e-01   7.949777e-01  
36        2.425081e+01   2.422475e+01   7.948714e-01   7.948714e-01  
37        2.425081e+01   2.422475e+01   7.947859e-01   7.947859e-01  
38        2.425081e+01   2.422475e+01   7.947210e-01   7.947210e-01  
39        2.425081e+01   2.422475e+01   7.946765e-01   7.946765e-01  
40        2.425081e+01   2.422476e+01   7.946522e-01   7.946522e-01  
41        2.425082e+01   2.422476e+01   7.946477e-01   7.946477e-01  
42        2.425082e+01   2.422477e+01   7.946625e-01   7.946625e-01  
43        2.425083e+01   2.422477e+01   7.946962e-01   7.946962e-01  
44        2.425084e+01   2.422478e+01   7.947481e-01   7.947481e-01  
45        2.425085e+01   2.422478e+01   7.948177e-01   7.948177e-01  
46        2.425086e+01   2.422479e+01   7.949041e-01   7.949041e-01  
47        2.425087e+01   2.422480e+01   7.950067e-01   7.950067e-01  
48        2.425089e+01   2.422480e+01   7.951247e-01   7.951247e-01  
49        2.425090e+01   2.422481e+01   7.952572e-01   7.952572e-01  
50        2.425092e+01   2.422482e+01   7.954034e-01   7.954034e-01  
51        2.425094e+01   2.422482e+01   7.955624e-01   7.955624e-01  
52        2.425096e+01   2.422483e+01   7.957333e-01   7.957333e-01  
53        2.425098e+01   2.422484e+01   7.959152e-01   7.959152e-01  
54        2.425100e+01   2.422485e+01   7.961071e-01   7.961071e-01  
55        2.425102e+01   2.422485e+01   7.963082e-01   7.963082e-01  
56        2.425104e+01   2.422486e+01   7.965175e-01   7.965175e-01  
57        2.425106e+01   2.422487e+01   7.967340e-01   7.967340e-01  
58        2.425108e+01   2.422488e+01   7.969568e-01   7.969568e-01  
59        2.425111e+01   2.422489e+01   7.971850e-01   7.971850e-01  
60        2.425113e+01   2.422489e+01   7.974177e-01   7.974177e-01  
61        2.425115e+01   2.422490e+01   7.976539e-01   7.976539e-01  
62        2.425118e+01   2.422491e+01   7.978927e-01   7.978927e-01  
63        2.425120e+01   2.422492e+01   7.981332e-01   7.981332e-01  
64        2.425122e+01   2.422492e+01   7.983747e-01   7.983747e-01  
65        2.425125e+01   2.422493e+01   7.986162e-01   7.986162e-01  
66        2.425127e+01   2.422494e+01   7.988568e-01   7.988568e-01  
67        2.425129e+01   2.422495e+01   7.990959e-01   7.990959e-01  
68        2.425131e+01   2.422495e+01   7.993326e-01   7.993326e-01  
69        2.425134e+01   2.422496e+01   7.995662e-01   7.995662e-01  
70        2.425136e+01   2.422497e+01   7.997960e-01   7.997960e-01  
71        2.425138e+01   2.422497e+01   8.000212e-01   8.000212e-01  
72        2.425140e+01   2.422498e+01   8.002413e-01   8.002413e-01  
73        2.425142e+01   2.422499e+01   8.004555e-01   8.004555e-01  
74        2.425144e+01   2.422499e+01   8.006633e-01   8.006633e-01  
75        2.425146e+01   2.422500e+01   8.008642e-01   8.008642e-01  
76        2.425148e+01   2.422501e+01   8.010577e-01   8.010577e-01  
77        2.425150e+01   2.422501e+01   8.012432e-01   8.012432e-01  
78        2.425151e+01   2.422502e+01   8.014203e-01   8.014203e-01  
79        2.425153e+01   2.422502e+01   8.015886e-01   8.015886e-01  
80        2.425155e+01   2.422503e+01   8.017478e-01   8.017478e-01  
81        2.425156e+01   2.422503e+01   8.018975e-01   8.018975e-01  
82        2.425158e+01   2.422504e+01   8.020374e-01   8.020374e-01  
83        2.425159e+01   2.422504e+01   8.021673e-01   8.021673e-01  
84        2.425160e+01   2.422504e+01   8.022869e-01   8.022869e-01  
85        2.425161e+01   2.422505e+01   8.023961e-01   8.023961e-01  
