-------------------------------------------------------------------------------------------------------------------------------------------------------------
Snap      mu             Kin            Pot            Contact        DDI            Dmu(Contact)   Dmu(DDI)       Dmu(grad)      Rot            Lx  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0         -5.989457e-01  3.880877e-01   0.000000e+00   2.144462e+01   -2.856851e+01  6.136859e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
1         -1.234515e+00  4.157112e-01   0.000000e+00   1.879274e+01   -2.509325e+01  4.650286e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
2         -1.230697e+00  4.170486e-01   0.000000e+00   1.891212e+01   -2.524685e+01  4.686987e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
3         -1.228154e+00  4.162653e-01   0.000000e+00   1.894599e+01   -2.528798e+01  4.697573e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
4         -1.226633e+00  4.156595e-01   0.000000e+00   1.896231e+01   -2.530732e+01  4.702715e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
5         -1.225761e+00  4.152958e-01   0.000000e+00   1.897093e+01   -2.531743e+01  4.705444e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
6         -1.225272e+00  4.150898e-01   0.000000e+00   1.897556e+01   -2.532284e+01  4.706916e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
7         -1.224999e+00  4.149754e-01   0.000000e+00   1.897808e+01   -2.532577e+01  4.707718e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
8         -1.224848e+00  4.149121e-01   0.000000e+00   1.897947e+01   -2.532739e+01  4.708161e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
9         -1.224763e+00  4.148770e-01   0.000000e+00   1.898024e+01   -2.532829e+01  4.708409e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
10        -1.224715e+00  4.148573e-01   0.000000e+00   1.898068e+01   -2.532880e+01  4.708549e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
11        -1.224688e+00  4.148462e-01   0.000000e+00   1.898093e+01   -2.532910e+01  4.708629e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
12        -1.224673e+00  4.148399e-01   0.000000e+00   1.898108e+01   -2.532927e+01  4.708675e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
13        -1.224664e+00  4.148363e-01   0.000000e+00   1.898116e+01   -2.532936e+01  4.708702e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
14        -1.224658e+00  4.148342e-01   0.000000e+00   1.898121e+01   -2.532942e+01  4.708717e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
15        -1.224655e+00  4.148330e-01   0.000000e+00   1.898124e+01   -2.532945e+01  4.708726e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
16        -1.224654e+00  4.148323e-01   0.000000e+00   1.898125e+01   -2.532947e+01  4.708731e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
17        -1.224653e+00  4.148319e-01   0.000000e+00   1.898126e+01   -2.532948e+01  4.708734e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
-------------------------------------------------------------------------------------------------------------------------------------------------------------

